id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230708-084050-1479-left-sort,0.05,5.25,0.2,0.2046310483309393,0.2039520706962976,1688802050.14918,1688809074.263469
230708-100747-4351-lame-rule,0.05,13.0,0.2,0.1981880509116347,0.2071862706890362,1688807267.43641,1688821305.22194
230708-100750-4106-ajar-mine,0.05,12.0,0.2,0.1931162441034091,0.1971388483347167,1688807270.411074,1688821320.014557
230708-100554-4637-smug-goal,0.05,9.5,0.2,0.1932338755141833,0.1974658677404173,1688807154.464945,1688820685.621173
230708-081026-1531-wary-hire,0.05,3.0,0.2,0.2076385647516272,0.2059066191850151,1688800226.153606,1688819127.709153
230708-093350-1770-best-kiss,0.05,7.25,0.2,0.1954654417561769,0.1990604343385885,1688805230.178326,1688819213.022268
230708-081025-2515-sour-call,0.05,2.5,0.2,0.2076385647516272,0.2059066191850151,1688800225.252003,1688819153.387591
230708-084836-9255-pale-clue,0.05,5.5,0.2,0.206793585051067,0.2061422804634234,1688802516.926024,1688818877.280856
230708-095200-5327-gray-fear,0.05,8.5,0.2,0.190121962952375,0.1924314089700455,1688806320.53404,1688817390.059523
230708-093227-0121-half-help,0.05,7.0,0.2,0.1993250181883228,0.203960000574292,1688805147.012893,1688817300.072181
230708-104618-5614-drab-push,0.05,14.0,0.2,0.1924145660024873,0.196081765084455,1688809578.561888,1688816628.762921
230708-092147-2064-cold-move,0.05,6.0,0.2,0.2055984415401113,0.2053670807661737,1688804507.206863,1688816596.560357
230708-085544-6230-dead-lead,0.05,5.75,0.2,0.2055738177290288,0.2055591540650971,1688802944.623662,1688816208.416098
230708-083144-3852-huge-kind,0.05,5.0,0.2,0.2068860581138007,0.2056801405719266,1688801504.385735,1688815144.736304
230708-083005-8473-pure-help,0.05,4.5,0.2,0.2066874543658932,0.2056073954699457,1688801405.848305,1688814990.015948
230708-081901-2453-full-quit,0.05,4.0,0.2,0.2076385647516413,0.2059066191863279,1688800741.246014,1688814165.074157
230708-081621-6555-fine-hell,0.05,3.5,0.2,0.2076385647516413,0.2059066191863285,1688800581.656467,1688813997.257112
230708-141031-6695-only-neat,0.15,8.0,0.2,0.1469051720865501,0.1866967689330516,1688821831.670066,1688835985.664546
230708-141011-9661-drab-tale,0.15,7.75,0.2,0.1315236783702039,0.1522343526918277,1688821811.966568,1688835981.092529
230708-130029-8193-weak-town,0.15,4.0,0.2,0.2076385647516272,0.2059066191850149,1688817629.831788,1688835758.337924
230708-130319-3845-rash-tour,0.15,5.25,0.2,0.2043186967735841,0.2045030353200137,1688817799.385197,1688834821.668522
230708-135957-0403-sane-duty,0.15,7.5,0.2,0.1448204864956558,0.1720513703315885,1688821197.040862,1688834514.67144
230708-124546-7767-ugly-deep,0.1,12.0,0.2,0.1664745058982583,0.182911238131656,1688816746.777394,1688834046.828556
230708-124541-1375-arid-head,0.1,11.0,0.2,0.1581335114285247,0.1793286743612831,1688816741.159392,1688834021.215474
230708-124523-0536-blue-grab,0.1,13.0,0.2,0.1388762527066909,0.1612771036079578,1688816723.054107,1688834004.054223
230708-123934-8449-cool-race,0.1,9.5,0.2,0.1738929963646016,0.1927934487695411,1688816374.872128,1688833400.528814
230708-123940-6928-even-tone,0.1,10.0,0.2,0.1436569247350316,0.1648761484870243,1688816380.693769,1688833295.706946
230708-125351-5275-pure-swim,0.1,15.0,0.2,0.1513276803107263,0.1807925826137607,1688817231.52807,1688832663.273471
230708-125346-8797-next-pair,0.15,2.5,0.2,0.2076385647516272,0.2059066191850151,1688817226.892979,1688832658.976197
230708-093755-8131-worn-ride,0.05,7.75,0.2,0.1900652244444107,0.1951597677836385,1688805475.813617,1688824225.107426
230708-093754-3224-free-site,0.05,8.0,0.2,0.1937136198653029,0.2017487087738302,1688805474.322856,1688824166.779436
230708-125211-7825-sick-wine,0.15,3.5,0.2,0.2076385647516272,0.2059066191850151,1688817131.78307,1688824102.171288
230708-101006-8421-oval-flow,0.05,10.0,0.2,0.2014304607504845,0.2041464445050697,1688807406.842559,1688824098.750385
230708-100956-3128-dear-wake,0.05,11.0,0.2,0.1926122893500483,0.1952366299756355,1688807396.313588,1688824091.755787
230708-092808-8337-oily-good,0.05,6.75,0.2,0.1957641764903689,0.1985591987496237,1688804888.834467,1688823585.128187
230708-092803-6819-bare-wife,0.05,6.5,0.2,0.2000497878284692,0.200890563747987,1688804883.682554,1688823539.719541
230708-093535-5922-thin-wait,0.05,7.5,0.2,0.194418116426417,0.1972380822142349,1688805335.593268,1688823638.80896
230708-092512-6952-cute-zone,0.05,6.25,0.2,0.2028952613236022,0.2060985890504438,1688804712.69564,1688822816.6436
230708-145635-9495-full-tank,0.15,10.0,0.2,0.1397169466877398,0.1788442611090216,1688824595.950148,1688831651.705962
230708-121244-0147-wide-test,0.1,7.0,0.2,0.1729834007028037,0.1833255289359176,1688814764.055419,1688831641.583011
230708-121247-2439-bare-grab,0.1,7.25,0.2,0.1631531513766506,0.1751075434723412,1688814767.244512,1688831636.698122
