id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230702-123958-6176-deep-belt,0.05,3.5,0.045,0.2522434448092706,0.3523498730289171,1688297998.618154,1688301972.279624
230702-123216-2984-wiry-rope,0.05,2.5,0.045,0.3303175551470396,0.3607928626032676,1688297536.299535,1688301933.423359
230702-124224-9078-last-will,0.05,4.5,0.045,0.2083460959480079,0.3183284762054393,1688298144.908237,1688301722.619819
230702-135006-5143-evil-king,0.05,15.0,0.045,0.1439605462287179,0.3935274226275291,1688302206.514817,1688307953.513057
230702-123527-8522-wide-stop,0.05,3.0,0.045,0.3128530053479716,0.348705681325824,1688297727.852669,1688303353.839215
230702-124243-5292-arid-lack,0.05,4.0,0.045,0.2152439443517249,0.3184793570401616,1688298163.529624,1688302929.301618
230702-124700-0996-oval-kind,0.05,5.0,0.045,0.2029427268502974,0.3251149321469236,1688298420.100144,1688302922.578892
230702-125717-8398-tiny-mark,0.05,5.5,0.045,0.2186319493500438,0.3382979068229715,1688299037.840264,1688302832.52705
230702-141221-0499-worn-wall,0.1,4.5,0.045,0.1196054984560689,0.2826567817906175,1688303541.050398,1688307640.916937
230702-133723-6944-long-past,0.05,13.0,0.045,0.1407753751490515,0.3535086068477187,1688301443.695001,1688307377.39185
230702-140920-0390-soft-fish,0.1,3.5,0.045,0.1812154202676104,0.2976827430994012,1688303360.039407,1688307377.168697
230702-133641-9741-limp-joke,0.05,12.0,0.045,0.1476539464097006,0.3807882758828362,1688301401.974597,1688307177.057079
230702-141039-6049-trim-salt,0.1,4.0,0.045,0.1312162022426011,0.2810888935466734,1688303439.605321,1688307074.843778
230702-131623-4389-sane-neat,0.05,10.0,0.045,0.1552924883183481,0.3565114492967728,1688300183.439401,1688306821.378774
230702-135416-2421-grim-dust,0.1,2.5,0.045,0.3249104897470122,0.3631294343047895,1688302456.243138,1688306819.32861
230702-135511-1264-ugly-rise,0.1,3.0,0.045,0.2890806447035365,0.3468682516148433,1688302511.129052,1688306475.880456
230702-131237-0411-calm-post,0.05,9.5,0.045,0.1529725730580736,0.377921045378646,1688299957.041557,1688305781.405071
230702-130944-7300-nice-wave,0.05,5.25,0.045,0.1967182352114977,0.3276921535125194,1688299784.735839,1688304837.108557
230702-153515-3540-tame-plan,0.1,8.0,0.045,0.0694087311180866,0.3226208811166512,1688308515.384826,1688312650.654693
230702-130024-0240-fast-bend,0.05,6.25,0.045,0.1913500220023916,0.34440142096088,1688299224.024558,1688312619.172141
230702-152516-2249-rude-spot,0.1,7.5,0.045,0.0644840971752141,0.2891259331682285,1688307916.225851,1688312300.814858
230702-151539-6461-rich-sell,0.1,6.25,0.045,0.0859510868441963,0.267614040535888,1688307339.646845,1688312250.151176
230702-130022-4450-back-hire,0.05,6.0,0.045,0.195070988850175,0.3363422667022845,1688299222.445473,1688312098.646274
230702-130024-5122-lone-ease,0.05,5.75,0.045,0.1876482724367248,0.3180481584041404,1688299224.512732,1688311844.258077
230702-152452-2691-calm-zone,0.1,7.25,0.045,0.0670125047739908,0.3028110536647113,1688307892.275961,1688311826.744559
230702-151949-1490-tiny-copy,0.1,6.75,0.045,0.0797235218460837,0.2967463937767813,1688307589.180995,1688311498.85217
230702-143000-9916-oily-farm,0.1,5.25,0.045,0.1041386184307678,0.2575700296616782,1688304600.992314,1688311099.350574
230702-150957-8753-live-tune,0.1,6.0,0.045,0.0884931576974002,0.2531846157298955,1688306997.875785,1688311066.580913
230702-150125-3368-some-gene,0.1,5.75,0.045,0.0909285651810602,0.2812218897349313,1688306485.337284,1688310822.592856
230702-144800-1970-ajar-stay,0.1,5.5,0.045,0.0964017698044355,0.2500511179477977,1688305681.215709,1688310209.280744
230702-134534-2362-huge-swim,0.05,14.0,0.045,0.1461635965964913,0.3875957849120666,1688301934.237173,1688309341.230839
230702-133903-2844-meek-dark,0.05,11.0,0.045,0.1371133740142249,0.3703320279302545,1688301543.285357,1688308460.291013
230702-164913-5407-fake-food,0.15,2.5,0.045,0.322246851427583,0.368998019713762,1688312953.554646,1688318108.373352
230702-163849-0957-hard-menu,0.1,15.0,0.045,0.0362391140590585,0.3679461163429647,1688312329.096166,1688318063.812999
230702-130709-9333-glum-math,0.05,7.75,0.045,0.1611514187266209,0.3602283543016408,1688299629.933895,1688313474.842229
230702-130710-8820-high-miss,0.05,7.5,0.045,0.1748261939735112,0.3619884823754079,1688299630.882534,1688313302.752893
230702-130706-3993-huge-wear,0.05,7.25,0.045,0.1802487018202107,0.3354758653033113,1688299626.399738,1688313156.572074
230702-153100-3928-back-work,0.1,7.75,0.045,0.064835540287506,0.3313590502349077,1688308260.578153,1688313078.923449
230702-130216-0135-tall-burn,0.05,7.0,0.045,0.1864656569432679,0.3553763060285693,1688299336.014035,1688313094.01973
230702-151620-4134-good-face,0.1,6.5,0.045,0.080475685617379,0.3014437450261717,1688307380.413926,1688312958.58514
230702-130121-2011-rash-soft,0.05,6.75,0.045,0.1882929181493366,0.3508709006802856,1688299281.201752,1688313042.614269
230702-130122-6454-mild-code,0.05,6.5,0.045,0.1850031273097884,0.3338794892318976,1688299282.646056,1688312990.347067
230702-165955-6564-oval-jury,0.15,4.5,0.045,0.0772986484895587,0.2800980931775559,1688313595.656857,1688317804.014998
230702-163331-0353-dual-wait,0.1,14.0,0.045,0.0422571765193078,0.3907299888829827,1688312011.03586,1688317123.841621
230702-162221-2958-tall-line,0.1,12.0,0.045,0.0487337435675567,0.3609854384437921,1688311341.296412,1688316916.66395
230702-164710-0292-tame-bear,0.15,3.0,0.045,0.2823615411056311,0.3635246424340618,1688312830.029675,1688316862.271424
230702-165245-2572-lone-sink,0.15,3.5,0.045,0.1473367058294749,0.3076985741279327,1688313165.257701,1688316767.074187
230702-161204-1266-trim-team,0.1,11.0,0.045,0.0448266036636496,0.3420123043758456,1688310724.128249,1688316467.017391
230702-162624-5876-grim-iron,0.1,13.0,0.045,0.0453280223533915,0.3658286072059555,1688311584.588114,1688316513.209893
230702-160854-1316-high-fuel,0.1,10.0,0.045,0.0545225530615669,0.3551921421332641,1688310534.178483,1688316331.454253
230702-154239-0714-nice-exam,0.1,8.5,0.045,0.0618662317840057,0.3102484435495825,1688308959.072018,1688315433.505185
230702-154414-9632-huge-home,0.1,9.5,0.045,0.0546461495225377,0.3224253248588069,1688309055.988107,1688314882.724407
230702-155155-2763-lazy-hell,0.1,9.0,0.045,0.0510547233100293,0.3136185332169806,1688309515.290579,1688314190.055071
230702-130802-1288-used-rice,0.05,9.0,0.045,0.1580331908601673,0.3816968276390614,1688299682.129313,1688314095.020608
230702-130802-0617-meek-ball,0.05,8.5,0.045,0.1754518082088242,0.3768595194961253,1688299682.062157,1688313974.040981
230702-152312-4530-true-gate,0.1,7.0,0.045,0.0780389805661778,0.3126075219302374,1688307792.453492,1688313262.063036
230702-130742-8708-tame-tell,0.05,8.0,0.045,0.1627992521229023,0.3551850832919751,1688299662.871391,1688313707.858847
230702-181953-1583-grim-park,0.2,4.0,0.045,0.0816581334879562,0.30282302599062,1688318393.158928,1688323006.800898
230702-174359-2599-each-bake,0.15,9.5,0.045,0.0186050345458102,0.284485669771349,1688316239.272837,1688322820.174006
230702-180111-8202-weak-pack,0.15,14.0,0.045,0.0142447880143401,0.3357655156385606,1688317271.820844,1688322414.618014
230702-174309-9028-good-army,0.15,10.0,0.045,0.0167593519676569,0.2743670946499764,1688316189.926548,1688322386.618071
230702-182234-0030-full-skin,0.2,4.5,0.045,0.0630716927468345,0.282520726263211,1688318554.003384,1688322307.435953
230702-180756-7320-dear-will,0.2,3.0,0.045,0.2799809571970881,0.3735069117314487,1688317676.772714,1688322260.400606
230702-175731-5491-damp-nose,0.15,12.0,0.045,0.0165799392560229,0.3256950476880317,1688317051.549587,1688321646.855193
230702-180959-1986-cool-shop,0.2,3.5,0.045,0.133451549536825,0.3177050329286395,1688317799.198992,1688321447.352407
230702-173136-7786-torn-west,0.15,9.0,0.045,0.0189048040570111,0.2808020365797277,1688315497.903354,1688321362.685007
230702-180458-6237-ugly-mall,0.2,2.5,0.045,0.321807485561967,0.3709347469140177,1688317498.62417,1688321177.857312
230702-171326-5204-pale-wing,0.15,6.5,0.045,0.0305613773185029,0.2101945551460723,1688314406.521037,1688320019.443047
230702-170018-6186-full-talk,0.15,4.0,0.045,0.093235313525544,0.2950967983805331,1688313618.619097,1688319212.032433
230702-171807-4671-some-farm,0.15,8.5,0.045,0.018588438204202,0.2428687028827564,1688314687.467532,1688319061.101916
230702-194301-1961-used-west,0.2,7.75,0.045,0.0125789440743683,0.1926663854499339,1688323382.249432,1688328482.643202
230702-183928-0924-deep-edge,0.2,5.0,0.045,0.0486537700165236,0.2579363614159299,1688319568.092906,1688323644.497209
230702-180347-2871-that-soil,0.15,15.0,0.045,0.0143516401176473,0.3383090968369157,1688317427.287567,1688323383.190294
230702-195129-2591-able-poet,0.2,9.0,0.045,0.0127441541894359,0.2246270447767336,1688323889.259616,1688328386.09129
230702-194640-3105-fond-chip,0.2,8.5,0.045,0.0126838535737759,0.2208107109456475,1688323600.311068,1688328296.24827
230702-191925-8641-taut-dear,0.2,6.25,0.045,0.0202669891564972,0.176705438213449,1688321966.681954,1688327894.396718
230702-171755-0627-dear-slip,0.15,8.0,0.045,0.0221805542616196,0.2642190253106694,1688314675.063411,1688327494.256921
230702-193621-6565-sore-hand,0.2,7.5,0.045,0.013470468370217,0.1859669053788541,1688322981.693081,1688327458.468545
230702-171708-4216-ajar-join,0.15,7.75,0.045,0.0238542905270543,0.2345524735145155,1688314628.439064,1688327382.120524
230702-171651-2358-lean-nose,0.15,7.5,0.045,0.0251341823674149,0.247280046156899,1688314611.236489,1688327274.806162
230702-171650-8728-soft-hate,0.15,7.25,0.045,0.0256227195158167,0.2514097149278176,1688314610.873343,1688327257.679883
230702-171602-6324-bare-pool,0.15,7.0,0.045,0.02596349905123,0.2240589424518534,1688314562.633588,1688326894.312403
230702-171602-5382-tidy-debt,0.15,6.75,0.045,0.0293817047365227,0.2315173784068001,1688314562.538821,1688326869.678153
230702-193338-1004-nice-tool,0.2,7.25,0.045,0.0146426231724109,0.1794574230221803,1688322818.161808,1688326835.424026
230702-192246-0351-calm-host,0.2,6.75,0.045,0.016601146658093,0.1756997056498655,1688322166.071213,1688326725.914033
230702-190010-6451-posh-lift,0.2,5.75,0.045,0.0273281386430092,0.194964006579178,1688320810.645708,1688326632.846504
230702-193245-5654-vast-lead,0.2,7.0,0.045,0.0159539990028112,0.197799730462608,1688322765.607235,1688326586.102479
230702-170158-2791-rich-trip,0.15,6.25,0.045,0.0323913246533931,0.2035320960552121,1688313718.279841,1688326015.586353
230702-170119-7120-this-main,0.15,5.25,0.045,0.0532968404518252,0.2347945041084381,1688313679.71266,1688325898.200611
230702-170158-9989-sour-mine,0.15,6.0,0.045,0.0375199995553303,0.2019650987917625,1688313718.999578,1688325896.471439
230702-170120-1074-lame-wash,0.15,5.75,0.045,0.0410169950776355,0.1947063633784602,1688313680.108094,1688325863.383579
230702-170120-0360-arid-sort,0.15,5.5,0.045,0.0462154797093634,0.2189611529043413,1688313680.03652,1688325767.020831
230702-191926-7988-last-slip,0.2,6.5,0.045,0.0178746844688827,0.1767659814319188,1688321966.799202,1688325743.441244
230702-191524-6962-twin-tear,0.2,6.0,0.045,0.0230252975067693,0.1820834953275866,1688321724.696804,1688325693.662555
230702-170120-6522-this-main,0.15,5.0,0.045,0.0622630821971845,0.2568611598793019,1688313680.652788,1688325673.965921
230702-184509-9201-past-cold,0.2,5.5,0.045,0.0354989345846534,0.2039564807264403,1688319909.938693,1688325233.664221
230702-175957-8123-tall-dirt,0.15,11.0,0.045,0.0156628593955155,0.3061505402208144,1688317197.835006,1688324707.989384
230702-184558-5414-late-lady,0.2,5.25,0.045,0.0409727757451722,0.2260966796489017,1688319958.543111,1688325057.669027
230702-175943-0457-fair-soft,0.15,13.0,0.045,0.0147022565407451,0.3314897638950024,1688317183.407258,1688323250.758514
230702-211506-7785-twin-bowl,0.25,9.5,0.045,0.0131061983720176,0.2302984788945825,1688328906.779475,1688333599.939366
230702-205618-2519-rosy-page,0.25,5.75,0.045,0.0259751346638818,0.1946118065595461,1688327778.252345,1688333423.752747
230702-204643-1690-same-park,0.25,5.25,0.045,0.0408411239355737,0.2211218258444741,1688327203.169895,1688333237.420575
230702-200115-4725-hard-boat,0.2,10.0,0.045,0.0115467345007549,0.2636760178814402,1688324477.072375,1688330587.668066
230702-202020-8544-gray-head,0.2,11.0,0.045,0.0122366883905907,0.2700926983091607,1688325621.970826,1688332108.484077
230702-205944-9847-used-book,0.25,6.0,0.045,0.022206060593546,0.1804345224855713,1688327984.985205,1688331630.346842
230702-204946-8516-evil-lack,0.25,5.5,0.045,0.0341971327343764,0.2052197897365102,1688327386.852054,1688331233.138925
230702-204507-8302-soft-wash,0.25,5.0,0.045,0.049026344087116,0.2501481752065978,1688327107.989221,1688330828.776563
230702-203041-4520-firm-lock,0.2,13.0,0.045,0.0109407907100353,0.3120104095338589,1688326241.452723,1688330822.447645
230702-203004-2247-long-hide,0.2,12.0,0.045,0.0120627148294489,0.2993516748613357,1688326204.225358,1688330639.020309
230702-194708-5927-full-farm,0.2,8.0,0.045,0.0119682152004746,0.1985436330560681,1688323628.624997,1688330229.061825
230702-195553-0890-next-rice,0.2,9.5,0.045,0.0125523289984337,0.2504962820350695,1688324153.093382,1688329537.097936
230702-223915-8932-fond-snow,0.3,5.25,0.045,0.0441782012060504,0.222922611144918,1688333955.893637,1688339171.254926
230702-223428-7259-rosy-quit,0.3,4.5,0.045,0.0689694828558151,0.2746967275498028,1688333668.745304,1688339064.142986
230702-203816-2524-meek-shop,0.25,4.5,0.045,0.064080895143254,0.2755909096876753,1688326696.253043,1688338566.384027
230702-224151-2939-posh-roof,0.3,5.5,0.045,0.0374849806508258,0.2061621477350612,1688334111.294362,1688338490.793146
230702-203820-9203-past-mine,0.25,4.0,0.045,0.0814216107009783,0.3013781739830698,1688326700.920912,1688338498.33532
230702-203714-2364-tidy-bend,0.25,3.5,0.045,0.1309682558969634,0.3232786216797034,1688326634.237065,1688338306.181533
230702-203714-5334-last-team,0.25,2.5,0.045,0.3221790534296307,0.3718370082679608,1688326634.534135,1688338198.062948
230702-203713-5354-bare-duty,0.25,3.0,0.045,0.2797008528559345,0.3777640195906471,1688326633.535879,1688338071.408672
230702-221024-3592-some-jump,0.3,2.5,0.045,0.3229075273044616,0.3706306335877352,1688332224.936942,1688337731.175381
230702-220226-5017-wise-save,0.25,15.0,0.045,0.016693368631793,0.3056348154823511,1688331746.502248,1688337090.446904
230702-215628-0251-used-base,0.25,14.0,0.045,0.0149514709286369,0.3276013012365525,1688331388.025556,1688336436.882798
230702-215253-2872-easy-soup,0.25,11.0,0.045,0.0146738698075057,0.257675625422637,1688331173.287689,1688336001.925196
230702-215547-1093-twin-ease,0.25,13.0,0.045,0.0137431711421587,0.2858502477858272,1688331347.109771,1688336020.214166
230702-220851-7609-smug-side,0.3,3.0,0.045,0.2804396533612341,0.3801905498050019,1688332131.761316,1688335863.431046
230702-210652-9057-smug-bone,0.25,8.0,0.045,0.0125176808376478,0.1792187300661091,1688328412.90632,1688335348.393551
230702-210812-6790-vain-lake,0.25,8.5,0.045,0.0128853993068636,0.1876931638960917,1688328492.679582,1688335050.100092
230702-211648-4392-twin-tank,0.25,9.0,0.045,0.0130086761021554,0.2051909908420389,1688329008.439649,1688334804.15679
230702-203750-1408-best-dare,0.2,14.0,0.045,0.0119853800972863,0.3283716912696362,1688326670.99745,1688334658.470916
230703-000926-6497-lost-name,0.3,12.0,0.045,0.0189870556984237,0.2676722069010831,1688339366.650293,1688351482.17645
230702-223724-4163-spry-data,0.3,5.0,0.045,0.0532581496510726,0.2495579508974754,1688333844.418615,1688339665.497966
230702-215407-9512-past-walk,0.25,10.0,0.045,0.0134590018866582,0.2333619136152617,1688331247.970266,1688338919.024608
230702-221833-1800-only-room,0.3,3.5,0.045,0.1334871689930822,0.3215998984154345,1688332713.180681,1688338798.668306
230703-001717-1878-wise-past,0.35,2.5,0.045,0.3237882620999377,0.3687974009173479,1688339837.199128,1688345892.567757
230702-230716-8681-neat-cell,0.3,6.25,0.045,0.0207301905537278,0.1697273030897868,1688335636.868707,1688342040.094089
230702-233955-1561-both-list,0.3,7.75,0.045,0.0141794859867924,0.1623870871791788,1688337595.156933,1688341829.746709
230702-232219-6190-pure-exit,0.3,7.0,0.045,0.0151019636932663,0.167979384734708,1688336539.632575,1688341496.642343
230702-210217-9061-thin-goal,0.25,7.75,0.045,0.0121602123607156,0.1635192116753724,1688328137.918774,1688340962.679791
230702-232912-1993-bare-rich,0.3,7.5,0.045,0.0139339218469477,0.1568484925496478,1688336952.199754,1688340892.34005
230702-210200-4568-soft-feel,0.25,7.5,0.045,0.0123730439256928,0.1634622976649835,1688328120.457533,1688340898.675264
230702-231947-1613-wise-type,0.3,6.75,0.045,0.0162686046040833,0.1611618705304402,1688336387.161681,1688340845.645796
230702-210157-5791-smug-joke,0.25,7.25,0.045,0.0129979648341877,0.1702711334965461,1688328117.579888,1688340799.219769
230702-232215-8811-dual-dust,0.3,7.25,0.045,0.0143106149877793,0.1622465867619003,1688336535.881537,1688340699.022344
230702-210054-9710-calm-idea,0.25,6.75,0.045,0.0150197186769651,0.1689407370408085,1688328054.971662,1688340359.306265
230702-210055-3923-open-sock,0.25,6.5,0.045,0.0163682896566652,0.1662455711717841,1688328055.399701,1688340244.134626
230702-210053-8142-weak-cook,0.25,6.25,0.045,0.018731123406575,0.1675202641562719,1688328053.814681,1688340172.924048
230702-230239-0736-lame-rise,0.3,5.75,0.045,0.0290455144766671,0.1962182010730784,1688335359.618609,1688340106.784301
230702-221924-0021-left-milk,0.3,4.0,0.045,0.0866546297153633,0.2938196900662768,1688332764.144357,1688337889.457817
230703-005837-7687-fine-part,0.35,7.5,0.045,0.0169529488040129,0.1577466884802949,1688342317.769109,1688346248.14922
230703-002400-6891-late-debt,0.35,3.5,0.045,0.1383255070570588,0.3183961833509108,1688340240.689546,1688345890.239128
230703-001324-4474-trim-feel,0.3,14.0,0.045,0.0212704675072737,0.317784869910281,1688339604.447967,1688345722.467081
230702-210435-2931-smug-boat,0.25,7.0,0.045,0.0138143691994088,0.165463285220883,1688328275.311453,1688345309.678353
230703-004318-2143-sane-type,0.35,5.5,0.045,0.0430896422802755,0.2070037786741561,1688341398.227705,1688345399.534588
230703-003104-3647-neat-luck,0.35,4.5,0.045,0.0769346017802026,0.2695655264448066,1688340664.36533,1688345371.691496
230703-004038-0767-weak-quit,0.35,5.0,0.045,0.0602494898084418,0.2518529332226014,1688341238.077354,1688345213.073952
230703-004206-2778-pure-male,0.35,5.25,0.045,0.0503870058851736,0.2258819496157817,1688341326.278485,1688344946.627828
230703-002853-6916-tidy-male,0.35,4.0,0.045,0.0939017432123752,0.2845977135929035,1688340533.730135,1688344816.127585
230703-001826-4555-icky-ring,0.35,3.0,0.045,0.2817093342653312,0.3783656614320431,1688339906.456072,1688344456.872236
230702-235333-6830-oval-cake,0.3,8.0,0.045,0.0144484211473871,0.164531438391211,1688338413.728065,1688343744.789237
230703-000310-9088-puny-edge,0.3,8.5,0.045,0.0147047685730938,0.1767400101997075,1688338990.909328,1688343491.367069
230702-203713-4034-dual-base,0.2,15.0,0.045,0.0138158954018572,0.3368137560191077,1688326633.403847,1688342968.28223
230702-231547-5068-oval-mate,0.3,6.5,0.045,0.0179080196107572,0.162631111077355,1688336147.507411,1688342880.764155
230702-230855-9500-glum-item,0.3,6.0,0.045,0.0244356098806808,0.1771835570251783,1688335737.297531,1688342784.538626
230703-021340-2149-long-meat,0.4,5.0,0.045,0.0683333172262205,0.2512999557725368,1688346820.215812,1688351422.895758
230703-021017-0175-lost-bite,0.4,4.0,0.045,0.1021056309364042,0.2762237363876804,1688346617.029651,1688351337.861753
230703-000858-8685-dear-play,0.3,11.0,0.045,0.0190133991884353,0.2350055577554134,1688339338.869552,1688351256.392948
230703-020147-6506-posh-seat,0.4,2.5,0.045,0.3247230694100753,0.3668364695218092,1688346107.651631,1688351016.686961
230703-000851-7413-wavy-pace,0.3,10.0,0.045,0.016607079031077,0.2193573030315344,1688339331.74189,1688350838.000885
230703-021337-7172-evil-race,0.4,5.25,0.045,0.057437424707242,0.2245690074195313,1688346817.717754,1688350696.067531
230703-012139-9658-safe-sink,0.35,8.5,0.045,0.0171869897194812,0.1704218995104306,1688343699.966436,1688350689.464436
230703-000802-2154-rich-cold,0.3,9.5,0.045,0.0159079760957476,0.1989061778494621,1688339282.216339,1688350592.553408
230703-012826-3269-each-pain,0.35,9.0,0.045,0.0179219485451898,0.1794696650212493,1688344106.327788,1688350367.197188
230703-015018-3604-limp-diet,0.35,11.0,0.045,0.0238985117675798,0.252012585365953,1688345418.360871,1688350511.04032
230703-000754-2109-half-work,0.3,9.0,0.045,0.015221554423628,0.1895904789210749,1688339274.220727,1688350368.275583
230703-015529-7513-wide-roll,0.35,13.0,0.045,0.0254333515760054,0.2720436140140982,1688345729.751751,1688350310.748115
230703-015103-2315-mild-cook,0.35,12.0,0.045,0.0235571192686703,0.2609994660491294,1688345463.335768,1688349984.496885
230703-012828-0447-easy-bike,0.35,10.0,0.045,0.0207882878079295,0.2156621363523164,1688344108.045388,1688349394.288087
230703-010345-4163-last-save,0.35,7.75,0.045,0.0170442445188235,0.1576214194902946,1688342625.416958,1688349139.60233
230703-010600-3345-fine-rope,0.35,8.0,0.045,0.0170966401415639,0.1621050987053869,1688342760.391572,1688348410.367243
230703-012643-8737-sore-poem,0.35,9.5,0.045,0.0190455730278979,0.1986070258183236,1688344003.874161,1688348620.33102
230703-005352-6273-neat-suck,0.35,7.25,0.045,0.017197044994438,0.15747491288452,1688342032.64848,1688347100.564773
230703-033939-5719-loud-bake,0.4,13.0,0.045,0.0317404521638526,0.2893759750995918,1688351979.57266,1688365747.077704
230703-030156-5192-smug-half,0.4,6.5,0.045,0.025199597460363,0.1581431063964284,1688349716.545632,1688355657.429551
230703-032659-7338-vast-kick,0.4,8.5,0.045,0.0204812659729177,0.1654169385562945,1688351219.734294,1688355400.794123
230703-032702-1000-posh-hope,0.4,7.75,0.045,0.0205255170113656,0.1602180489193552,1688351222.100467,1688355222.614848
230703-031459-8837-damp-trip,0.4,7.25,0.045,0.0211443079073451,0.157436147337817,1688350499.88427,1688355071.3601
230703-032012-9232-drab-fact,0.4,7.5,0.045,0.0206136038056298,0.1548822561350788,1688350812.923832,1688354563.647786
230703-031355-3372-limp-hell,0.4,7.0,0.045,0.0217133792250424,0.1635914311058443,1688350435.337949,1688354259.805005
230703-004530-6674-slow-neck,0.35,7.0,0.045,0.0177682621066457,0.1678384536850564,1688341530.667964,1688354195.235886
230703-004531-0178-full-stop,0.35,6.75,0.045,0.0190657265096192,0.162916033109139,1688341531.018494,1688354185.973731
230703-004530-9342-gray-mark,0.35,6.5,0.045,0.0210311366347068,0.1583807163144685,1688341530.934899,1688354056.391901
230703-004457-8489-twin-meet,0.35,6.0,0.045,0.0284564615856481,0.1771915509928396,1688341497.849595,1688353823.989385
230703-004457-7214-this-star,0.35,6.25,0.045,0.0242569707356407,0.1656544897256436,1688341497.721908,1688353796.881225
230703-021733-6130-tame-bath,0.4,5.5,0.045,0.0494189760054187,0.2057881397198559,1688347053.613749,1688353620.483356
230703-025217-4589-smug-boat,0.4,6.25,0.045,0.0291336238045682,0.1637763447360293,1688349137.484218,1688353699.922627
230703-020553-6698-thin-code,0.4,3.0,0.045,0.2832408685964254,0.3752430505811169,1688346353.67032,1688350865.540604
230703-023038-3183-lost-sing,0.4,6.0,0.045,0.0340160538056588,0.1752893693849334,1688347838.32473,1688353355.517889
230703-004458-2610-lost-mode,0.35,5.75,0.045,0.0335898822906781,0.1940932076837709,1688341498.261522,1688353542.723388
230703-021627-7360-only-race,0.4,5.75,0.045,0.0395352173753685,0.1935930039699094,1688346987.737256,1688353316.517942
230703-021248-2442-firm-town,0.4,4.5,0.045,0.0858168779002718,0.2668486389042251,1688346768.267284,1688352621.418036
230703-015814-5220-sane-cold,0.35,14.0,0.045,0.0286040191328695,0.3179941880350919,1688345894.522618,1688352613.821515
230703-020919-9637-real-vast,0.4,3.5,0.045,0.1444116331216719,0.313983418488516,1688346559.964241,1688352078.477461
230703-015903-3281-best-lead,0.35,15.0,0.045,0.031229502336315,0.2848192432507485,1688345944.222092,1688351947.550519
230703-044516-7411-rare-gear,0.45,8.5,0.045,0.0246282701584642,0.1675918714425834,1688355916.741641,1688359890.063225
230703-044230-9731-bony-sell,0.45,8.0,0.045,0.0244805064942293,0.168396454605036,1688355750.976562,1688359878.817081
230703-041650-2607-next-club,0.45,4.5,0.045,0.0948037111521832,0.2625334732322117,1688354210.297031,1688359385.858469
230703-043933-0068-fair-unit,0.45,7.75,0.045,0.0245764218670072,0.1690119033534218,1688355573.007266,1688359389.24327
230703-041102-2793-grim-back,0.45,3.0,0.045,0.2848297513969334,0.3719694624256749,1688353863.523541,1688358087.294008
230703-042336-3586-both-bird,0.45,5.5,0.045,0.0563619568498997,0.2043430585544946,1688354616.389687,1688359244.054372
230703-035417-5425-ugly-west,0.4,15.0,0.045,0.03923463249238,0.3049549256651813,1688352857.543365,1688359133.066279
