id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230327-125924-7515-fast-slip,0.05,5.75,0.0924542380716536,0.0868530117342693,0.0982055616259184,1679918364.752768,1679933911.152588
230327-125927-3039-wavy-peak,0.05,5.5,0.0924542380716536,0.1066746035696117,0.1210526361303686,1679918367.323321,1679933908.971145
230327-125925-6700-rich-dirt,0.05,5.0,0.0924542380716536,0.0866438689380534,0.0977296125475571,1679918365.671179,1679933904.705973
230327-125930-6973-oily-wish,0.05,5.25,0.0924542380716536,0.0933159348790466,0.1046938179182579,1679918370.703317,1679933601.888309
230327-125436-4442-keen-host,0.05,4.5,0.0924542380716536,0.0989219619471811,0.1086038386317207,1679918076.445041,1679932132.7005
230327-125436-7858-oily-cook,0.05,4.0,0.0924542380716536,0.1174495537558932,0.1256742254948464,1679918076.791686,1679930139.609808
230327-125436-6506-tiny-lady,0.05,3.5,0.0924542380716536,0.1237268644957692,0.1306455783332633,1679918076.651397,1679930137.786792
230327-125436-9546-sane-film,0.05,3.0,0.0924542380716536,0.1494948220692219,0.1515747430484555,1679918076.962899,1679930110.342394
230327-125436-4009-each-baby,0.05,2.5,0.0924542380716536,0.136966586729548,0.1381489054830023,1679918076.401655,1679930108.191909
230327-172325-9837-each-tune,0.05,9.0,0.0924542380716536,0.0842739905048641,0.1058545328510097,1679934205.986644,1679955638.99921
230327-172326-2545-trim-cell,0.05,8.5,0.0924542380716536,0.0963188345386277,0.1190567473249361,1679934206.258692,1679955443.177457
230327-172303-3577-tall-film,0.05,8.0,0.0924542380716536,0.0990103568605215,0.117955621772791,1679934183.362458,1679954976.604308
230327-172231-2595-pure-walk,0.05,7.75,0.0924542380716536,0.0863981255172198,0.105491573870468,1679934151.26026,1679954682.386574
230327-172231-4359-cool-blow,0.05,7.5,0.0924542380716536,0.0784945381747259,0.0955203805330721,1679934151.436664,1679954257.912957
230327-162239-8526-ugly-make,0.05,7.25,0.0924542380716536,0.0806737384439427,0.099146172586947,1679930559.857619,1679951295.193736
