id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230706-141208-4692-cold-part,0.05,6.5,0.2,0.083262990909432,0.1177501351087475,1688649128.4696,1688686683.291623
230706-141209-0700-fake-task,0.05,6.25,0.2,0.0858566304889108,0.1116560344436944,1688649129.07061,1688686478.704844
230706-141137-2380-this-bake,0.05,5.0,0.2,0.0990687726277317,0.1295365294165723,1688649097.238466,1688686232.12619
230706-141208-2381-wild-ease,0.05,6.0,0.2,0.0835371085797545,0.1076661479493075,1688649128.238571,1688686045.992787
230706-141137-4664-some-neck,0.05,4.0,0.2,0.126682932091118,0.1456641522283424,1688649097.46685,1688685714.601998
230706-141137-3708-best-soft,0.05,4.5,0.2,0.1124096421603575,0.1362206129329444,1688649097.37124,1688685542.591868
230706-141209-5268-tall-time,0.05,5.75,0.2,0.0906920859534368,0.1157992549677684,1688649129.527306,1688684753.466587
230706-141139-0957-free-turn,0.05,3.0,0.2,0.1593026264196678,0.1624830384761507,1688649099.096247,1688684574.580417
230706-141208-9930-cool-hole,0.05,5.5,0.2,0.122784210026147,0.1646080945900697,1688649128.99355,1688684487.543384
230706-141137-4230-live-mess,0.05,3.5,0.2,0.1245470115271185,0.1444711826108852,1688649097.42347,1688684489.04585
230706-141137-8324-weak-pack,0.05,2.5,0.2,0.150642411806404,0.1550544417369574,1688649097.832936,1688684469.907441
230706-141208-5719-zany-hell,0.05,5.25,0.2,0.0902064201444416,0.1146372352655603,1688649128.572311,1688684079.752442
230708-110238-0440-tiny-self,0.05,8.0,0.2,0.071957043923858,0.0996605626222324,1688810558.044904,1688850734.154599
230708-110156-4292-flat-talk,0.05,7.75,0.2,0.0813137773748048,0.1147490212432771,1688810516.4298,1688849986.245491
230708-110151-3342-same-idea,0.05,7.5,0.2,0.0862032507724127,0.1148124059535155,1688810511.334787,1688849293.01742
230708-110101-1908-wise-deep,0.05,7.25,0.2,0.0892345310273563,0.1244069584768745,1688810461.191322,1688848768.842985
230708-110102-0160-vain-mind,0.05,7.0,0.2,0.1015700745472314,0.138572194831022,1688810462.016857,1688848369.772065
230708-222338-5924-spry-head,0.05,15.0,0.2,0.107894271300567,0.1487836434382184,1688851418.592862,1688908798.578733
230708-222331-7256-next-pace,0.05,14.0,0.2,0.1108937994174495,0.1456730327302211,1688851411.726671,1688905400.507629
230708-110239-0141-puny-base,0.05,8.5,0.2,0.1106394155651251,0.1414873494831856,1688810559.014618,1688851366.476436
230708-115333-9171-numb-code,0.05,13.0,0.2,0.0880287129254438,0.1300270946556276,1688813613.917575,1688865156.713944
230708-115255-8725-safe-idea,0.05,12.0,0.2,0.0931822848864563,0.1296990330346732,1688813575.872996,1688863307.488552
230708-115257-3999-fast-wine,0.05,11.0,0.2,0.0856316389907508,0.1221429992579761,1688813577.4006,1688861139.201155
230708-115252-7409-sane-cake,0.05,10.0,0.2,0.0890177329581493,0.1289975169398137,1688813572.741347,1688858831.742625
230708-115204-3794-last-tone,0.05,9.5,0.2,0.0895197961722775,0.126744217024743,1688813524.379898,1688857722.527407
230708-115203-5668-cool-skin,0.05,9.0,0.2,0.0985757157873177,0.1408045269961376,1688813523.567319,1688854831.541795
230709-025353-7431-weak-coat,0.1,5.75,0.2,0.0367758237155636,0.0675649309540231,1688867633.744098,1688904951.751273
230709-025501-9188-male-keep,0.1,6.0,0.2,0.0369585624556266,0.0732934574706311,1688867701.942088,1688904448.616175
230709-025245-7857-busy-step,0.1,5.5,0.2,0.038126895673673,0.0693084634112731,1688867565.787744,1688904357.91974
230709-004855-1440-grim-wash,0.1,5.0,0.2,0.043584848106062,0.0807878596371105,1688860135.144734,1688896952.489247
230709-004915-0447-sick-base,0.1,5.25,0.2,0.0448391400919011,0.0810127411308075,1688860155.045458,1688896058.919036
230709-004837-3180-drab-gain,0.1,4.5,0.2,0.0499712626161314,0.0917468404794222,1688860117.318557,1688895951.867208
230708-223553-5411-safe-user,0.1,4.0,0.2,0.0592986104230092,0.0896196591801599,1688852153.541985,1688884824.719556
230708-222457-3136-near-bake,0.1,3.5,0.2,0.0768268520298818,0.1012066959247086,1688851497.314153,1688883303.800313
230708-222417-0986-free-mail,0.1,3.0,0.2,0.1319731555297459,0.1430159064357404,1688851457.099286,1688882997.656198
230708-222358-1435-used-tree,0.1,2.5,0.2,0.1344054983565408,0.1438546933153321,1688851438.143964,1688882673.048942
230709-152417-5211-aged-time,0.1,10.0,0.2,0.0284039050967765,0.0715516058923037,1688912657.521863,1688947898.692103
230709-140902-3182-mild-salt,0.1,9.0,0.2,0.0275386249605058,0.0748714383988319,1688908142.319023,1688947560.355553
230709-152425-6340-pale-home,0.1,9.5,0.2,0.0262815596500558,0.0691428538350301,1688912665.634744,1688947120.62825
230709-140703-1763-fast-math,0.1,8.5,0.2,0.0370349044061407,0.0976235170171781,1688908023.189451,1688946870.154323
230709-140703-2193-slow-golf,0.1,8.0,0.2,0.034195031525431,0.083009539817185,1688908023.219843,1688945857.753405
230709-120103-4706-that-yard,0.1,7.5,0.2,0.0273130009402796,0.0635700820321181,1688900463.471292,1688939057.064539
230709-120245-7524-free-song,0.1,7.75,0.2,0.0275631157672143,0.0695401339088381,1688900565.753063,1688938565.993739
230709-120049-6761-fake-past,0.1,7.25,0.2,0.0308477899778941,0.0643248631474354,1688900449.676614,1688937032.264715
230709-075744-8884-used-coat,0.1,7.0,0.2,0.031614583980323,0.0681328205555806,1688885864.903957,1688916502.236771
