id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230321-190417-1922-aged-hour,0.05,3.0,0.1732385328767658,0.2165533948042886,0.2168907063272322,1679425457.193006,1679434357.956949
230321-190418-5064-dear-back,0.05,2.5,0.1732385328767658,0.2357888297890931,0.2362810868728501,1679425458.5114,1679434308.082687
230321-215101-0511-high-name,0.05,5.0,0.1732385328767658,0.202239768392412,0.2035564652790969,1679435461.051922,1679446346.764525
230321-215100-9317-oval-crew,0.05,4.5,0.1732385328767658,0.2109064229042889,0.2119835079076204,1679435460.932596,1679446314.684938
230321-211300-7788-deep-gold,0.05,4.0,0.1732385328767658,0.1839772441340409,0.1851001560523444,1679433180.781201,1679444013.041506
230321-211256-7649-grim-read,0.05,3.5,0.1732385328767658,0.1747980007901558,0.1752620843671556,1679433176.778552,1679443997.624767
230322-010728-8087-dark-bake,0.05,6.0,0.1732385328767658,0.1570409544621509,0.1593705428812806,1679447248.809744,1679459181.985322
230322-010729-5975-cool-ring,0.05,5.75,0.1732385328767658,0.208921901729302,0.210226159025138,1679447249.608315,1679458659.75408
230322-002814-2630-fast-ruin,0.05,5.5,0.1732385328767658,0.1745056168721451,0.1769598580272626,1679444894.263856,1679456020.270101
230322-002815-1926-kind-hire,0.05,5.25,0.1732385328767658,0.1725983975522562,0.1736294950260692,1679444895.19627,1679455936.840605
230322-034856-7001-dark-hunt,0.05,6.5,0.1732385328767658,0.1834202482123735,0.1867447797508869,1679456936.70224,1679468714.685032
230322-034729-1092-oily-drop,0.05,6.25,0.1732385328767658,0.1792600690389411,0.1811577224139155,1679456849.110198,1679468570.587139
230322-043535-0710-taut-neck,0.05,6.75,0.1732385328767658,0.1676583003990853,0.1703338867479483,1679459735.071894,1679471824.950719
230322-043543-6795-tiny-form,0.05,7.0,0.1732385328767658,0.16958874511443,0.1720147759626146,1679459743.706533,1679471751.49189
230322-103244-6871-bold-kill,0.05,9.5,0.1732385328767658,0.1840529890573765,0.1871900046448874,1679481164.689943,1679488504.046771
230322-103657-3377-fair-hour,0.05,13.0,0.1732385328767658,0.2137456738367643,0.217759394414564,1679481417.338535,1679488484.309418
230322-103431-3711-this-wife,0.05,12.0,0.1732385328767658,0.1854740870288242,0.1891929681473818,1679481271.372129,1679488481.253633
230322-103404-1784-wavy-kind,0.05,10.0,0.1732385328767658,0.2002615125979456,0.2040379392335557,1679481244.179298,1679487963.151057
230322-102741-1253-free-shoe,0.05,8.5,0.1732385328767658,0.1993156523515782,0.2019805530339521,1679480861.136609,1679487719.747839
230322-072054-8841-fast-wall,0.05,7.25,0.1732385328767658,0.187090656206098,0.1895247821985277,1679469654.886322,1679481436.582206
230322-072114-3671-poor-rate,0.05,7.5,0.1732385328767658,0.1634818743693136,0.1660207150854278,1679469674.368004,1679481366.894959
230322-105909-4873-last-tell,0.1,5.25,0.1732385328767658,0.1385540323129472,0.142220807948668,1679482749.488265,1679486740.790666
230322-080801-7755-spry-cell,0.05,8.0,0.1732385328767658,0.1536679930616953,0.1569880714903741,1679472481.780898,1679484524.673771
230322-080807-8767-long-self,0.05,7.75,0.1732385328767658,0.1914630287498245,0.1947787644796957,1679472487.878241,1679484458.756363
230322-123729-7202-full-coat,0.1,9.5,0.1732385328767658,0.0965235293515177,0.1107041416213146,1679488649.721129,1679496088.390283
230322-123728-5464-slim-save,0.1,9.0,0.1732385328767658,0.1250394358196765,0.1391358248877372,1679488648.547339,1679496033.046956
230322-103735-7457-spry-menu,0.05,14.0,0.1732385328767658,0.2115549218380263,0.2148157942237829,1679481455.746788,1679489097.083288
230322-103924-9690-lone-fish,0.05,15.0,0.1732385328767658,0.1846162375249102,0.1881263882350439,1679481564.970091,1679488699.948354
230322-122753-4095-trim-quit,0.1,8.5,0.1732385328767658,0.115344860431411,0.1276445189161474,1679488073.410569,1679495556.149466
230322-122514-7692-posh-long,0.1,8.0,0.1732385328767658,0.097732766867342,0.1075736013200459,1679487914.770159,1679495536.885075
230322-103908-9802-torn-fall,0.1,2.5,0.1732385328767658,0.2357888297890441,0.2362810868729142,1679481548.981164,1679489301.613212
230322-104034-4743-tiny-jury,0.1,3.0,0.1732385328767658,0.2112511427152886,0.2115436772946556,1679481634.47539,1679490439.582441
230322-103106-8604-blue-site,0.05,9.0,0.1732385328767658,0.1586967658311997,0.1621847668072091,1679481066.86138,1679490353.315309
230322-112307-8343-icky-hold,0.1,6.75,0.1732385328767658,0.1055276768293498,0.1128318471251067,1679484187.849869,1679493240.122552
230322-112837-9419-dull-bake,0.1,7.5,0.1732385328767658,0.1187047229723715,0.1294109703032844,1679484517.955749,1679492533.345518
230322-112558-2109-spry-hook,0.1,7.25,0.1732385328767658,0.1222047331756438,0.1309205374444725,1679484358.232193,1679491980.279511
230322-112323-5867-oval-rain,0.1,7.0,0.1732385328767658,0.1272848406358593,0.1387636299872947,1679484203.590505,1679491876.133538
230322-105317-5386-taut-rice,0.1,4.0,0.1732385328767658,0.1317370199117632,0.1331857837881935,1679482397.551063,1679491746.089835
230322-105317-2083-half-load,0.1,4.5,0.1732385328767658,0.1362413109365867,0.1409636820983783,1679482397.209164,1679491734.789978
230322-110722-3978-vast-turn,0.1,5.75,0.1732385328767658,0.118978772126651,0.1233457571106945,1679483242.404635,1679491688.718646
230322-111534-2303-ajar-news,0.1,6.5,0.1732385328767658,0.1054776580194875,0.1116148046804679,1679483734.231345,1679491626.505332
230322-111410-1979-weak-suit,0.1,6.0,0.1732385328767658,0.1345898628664817,0.1393696118941327,1679483650.199798,1679491465.574657
230322-111424-9357-live-salt,0.1,6.25,0.1732385328767658,0.1463800882907479,0.1582602625331091,1679483664.936636,1679491287.39847
230322-104422-9748-true-dark,0.1,3.5,0.1732385328767658,0.1414528933889284,0.1423922270360905,1679481862.983444,1679490748.897635
230322-105750-5282-bare-date,0.1,5.0,0.1732385328767658,0.1349121177361248,0.1405167701436429,1679482670.541388,1679490690.899958
230322-144332-2717-vast-part,0.15,8.0,0.1732385328767658,0.0702593059152183,0.0893198364615799,1679496212.272524,1679504802.49853
230322-144259-5334-lone-tale,0.15,7.5,0.1732385328767658,0.0635415722795777,0.0797839105265236,1679496179.534252,1679504808.723019
230322-124041-4123-cute-walk,0.1,12.0,0.1732385328767658,0.0997568721348997,0.1149016362174846,1679488841.413397,1679496804.934947
230322-124008-1503-smug-hall,0.1,11.0,0.1732385328767658,0.1056330587480302,0.1205953008791426,1679488808.154663,1679496384.60589
230322-123824-7597-used-wear,0.1,10.0,0.1732385328767658,0.1217166674156436,0.1353570291655577,1679488704.760527,1679496216.24516
230322-145759-3876-late-cash,0.15,10.0,0.1732385328767658,0.0788867659140213,0.1035981839807464,1679497079.390264,1679504816.417403
230322-145005-2702-torn-joke,0.15,9.0,0.1732385328767658,0.0639620406491713,0.0868169272843843,1679496605.271075,1679504750.954704
230322-145005-5362-safe-wine,0.15,9.5,0.1732385328767658,0.0701410882043715,0.0914339589375185,1679496605.544702,1679504746.632214
230322-144830-7864-neat-file,0.15,8.5,0.1732385328767658,0.0820059703252454,0.1023136871912231,1679496510.789519,1679504472.140293
230322-131527-5192-taut-boat,0.15,3.5,0.1732385328767658,0.1374531090801363,0.1386330284771645,1679490927.533314,1679500458.898454
230322-131530-1818-fair-task,0.15,3.0,0.1732385328767658,0.2111767426248423,0.2114727378954013,1679490930.189957,1679500404.330228
230322-133653-4634-live-test,0.15,5.25,0.1732385328767658,0.1169867526195,0.1234085618112602,1679492213.464365,1679500079.640293
230322-133751-7498-dead-fear,0.15,5.5,0.1732385328767658,0.1097319527867204,0.1153080161185196,1679492271.763755,1679499913.758943
230322-131443-3769-good-gene,0.15,2.5,0.1732385328767658,0.2357888297890441,0.2362810868729142,1679490883.377664,1679499775.662621
230322-130951-9148-idle-save,0.1,15.0,0.1732385328767658,0.1195570514696945,0.1411610818946464,1679490591.915916,1679499484.304044
230322-132711-3634-sour-kiss,0.15,5.0,0.1732385328767658,0.1251520434192757,0.1289734662262568,1679491631.364262,1679499479.104516
230322-132554-9347-bare-stop,0.15,4.5,0.1732385328767658,0.1282997885828218,0.1307375365311577,1679491554.942706,1679499024.019074
230322-131639-7546-posh-bike,0.15,4.0,0.1732385328767658,0.1280380054059247,0.130133787826787,1679490999.755607,1679498981.567824
