id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230630-222057-4853-oval-rock,0.05,5.75,0.1,0.3524775343938278,0.3820697472934419,1688160057.486161,1688167131.178178
230630-222552-4542-nice-type,0.05,6.0,0.1,0.3260269048684944,0.3478363455615252,1688160352.45494,1688166714.646134
230630-221755-4513-deep-loan,0.05,5.25,0.1,0.3447490981355774,0.3661962740104232,1688159875.451823,1688166370.884334
230630-224356-5628-nice-baby,0.05,7.25,0.1,0.3279442561715423,0.3678552116149345,1688161436.563456,1688165765.334236
230630-221952-0364-bold-type,0.05,5.5,0.1,0.345656792650212,0.3657035394531508,1688159992.037107,1688165703.123782
230630-223412-6150-wiry-unit,0.05,6.5,0.1,0.3286858359136698,0.3619824427796298,1688160852.61708,1688164488.028594
230701-002440-3717-weak-good,0.1,6.75,0.1,0.2825018257945206,0.3746826705997937,1688167480.394528,1688174189.408323
230701-002449-9245-sour-cell,0.1,7.0,0.1,0.2813787528590056,0.3506951841390618,1688167489.925254,1688174141.505523
230701-001726-3875-meek-mail,0.1,6.5,0.1,0.2838939139791514,0.3457382569421577,1688167046.398129,1688173495.593442
230701-000807-0052-idle-sail,0.1,5.5,0.1,0.3314501601908559,0.3675692420311726,1688166487.005645,1688172828.431299
230701-000100-1056-tiny-army,0.1,5.25,0.1,0.3376370676297029,0.3641685995696747,1688166060.106249,1688172565.119919
230630-235656-6422-drab-item,0.1,5.0,0.1,0.3336620891068473,0.3577689388197841,1688165816.774489,1688172332.904538
230630-233059-1311-flat-zone,0.05,15.0,0.1,0.3018094492987141,0.3692172906251499,1688164259.131755,1688172058.688211
230701-002753-2378-icky-turn,0.1,7.25,0.1,0.2876233702801326,0.3804596636531699,1688167673.276467,1688171900.14645
230630-233432-3182-spry-head,0.1,2.5,0.1,0.3776575828716829,0.3774090895253027,1688164472.319669,1688171657.713535
230630-230303-0804-pink-dead,0.05,8.5,0.1,0.3108119756901763,0.3731344817303563,1688162583.080977,1688171655.246284
230630-230255-6635-some-rule,0.05,9.0,0.1,0.3120915436658512,0.3593736408238403,1688162575.663979,1688171584.637984
230630-233427-2804-lost-bend,0.1,4.0,0.1,0.3324959971240219,0.3602149782357782,1688164467.280879,1688170813.455601
230630-233428-1700-dull-safe,0.1,3.5,0.1,0.3344409794685945,0.3606076390262959,1688164468.170527,1688170806.373335
230630-224351-3572-aged-bear,0.05,7.0,0.1,0.3125602912948827,0.3613579499037272,1688161431.357938,1688170622.553652
230630-233655-7906-good-dirt,0.1,3.0,0.1,0.3773821722700618,0.3771824091226725,1688164615.791384,1688170475.732164
230630-221432-8768-full-rise,0.05,5.0,0.1,0.3540477984843803,0.3642241954574724,1688159672.877347,1688170455.721368
230630-221425-5321-male-disk,0.05,4.5,0.1,0.352352150871541,0.3636130699534746,1688159665.532646,1688170432.655402
230630-221514-0988-some-bone,0.05,4.0,0.1,0.3416013601206252,0.3673891276122598,1688159714.099379,1688170417.339849
230630-221339-2164-tall-list,0.05,3.0,0.1,0.3775677364447318,0.3773593076783222,1688159619.216893,1688170300.068491
230630-221337-9059-damp-fail,0.05,3.5,0.1,0.3555142438050903,0.366005915827944,1688159617.906339,1688170297.8699
230630-221339-2066-meek-risk,0.05,2.5,0.1,0.3776575828714398,0.3774090895327903,1688159619.207124,1688170288.051776
230701-000731-6144-slow-bake,0.1,5.75,0.1,0.3195484346105191,0.3661423560087228,1688166451.615332,1688169950.678787
230630-224341-6467-neat-life,0.05,7.5,0.1,0.3202736943166913,0.3526344830975011,1688161421.647656,1688169412.666746
230630-230658-1438-some-crew,0.05,13.0,0.1,0.3040455023629793,0.3791909004640227,1688162818.144474,1688169324.869087
230630-230304-4140-pure-foot,0.05,10.0,0.1,0.2926132573210234,0.3599006975179481,1688162584.414607,1688169164.175396
230630-231037-5281-pink-baby,0.05,14.0,0.1,0.3120177286457278,0.3688189223686381,1688163037.530987,1688169124.562555
230630-231000-3682-last-week,0.05,12.0,0.1,0.3109739123505098,0.3836540924302612,1688163000.368886,1688169075.572979
230630-225055-0551-wise-loan,0.05,7.75,0.1,0.315237063727893,0.3582561057121771,1688161855.055836,1688169048.775033
230630-223640-9470-soft-meal,0.05,6.75,0.1,0.3273567395476428,0.3648033812677683,1688161000.947781,1688168954.10562
230630-230255-9009-tame-wake,0.05,9.5,0.1,0.3129044541702693,0.3736832757050483,1688162575.901478,1688168682.720893
230630-234618-1575-aged-book,0.1,4.5,0.1,0.3368712926384418,0.3609729613995607,1688165178.158049,1688168616.647178
230630-224751-8638-near-type,0.05,8.0,0.1,0.3139448491621743,0.3524261571802117,1688161671.864389,1688168369.775354
230630-230611-5410-taut-rent,0.05,11.0,0.1,0.309120124824966,0.3642445847742729,1688162771.5416,1688168104.540801
230630-222948-7576-sane-baby,0.05,6.25,0.1,0.3341131330959171,0.3779408012221114,1688160588.758486,1688168001.78636
230701-022623-2511-rude-golf,0.15,7.5,0.1,0.2366788112193768,0.3645509904016951,1688174783.265919,1688181392.280413
230701-022634-5084-that-gain,0.15,7.25,0.1,0.2389437101041272,0.3593769241778655,1688174794.540699,1688181410.925061
230701-014825-5128-free-girl,0.15,6.5,0.1,0.2623835436099172,0.3580095534983708,1688172505.514471,1688176566.489157
230701-012422-2994-lame-item,0.1,9.0,0.1,0.2402492070674994,0.4123104455289272,1688171062.33003,1688176325.821012
230701-004538-5003-spry-calm,0.1,8.5,0.1,0.263071228216157,0.349153452188738,1688168738.521413,1688175507.611685
230701-004545-9347-lean-shot,0.1,8.0,0.1,0.2454267622728962,0.374052058401633,1688168745.93529,1688175488.796518
230701-003335-2293-sane-save,0.1,7.75,0.1,0.2570909686741802,0.3459138956142423,1688168015.229827,1688175000.632837
230701-003321-0439-posh-gate,0.1,7.5,0.1,0.2572029948852823,0.3565815644089596,1688168001.044481,1688174966.093401
230701-030857-8393-tidy-miss,0.15,8.5,0.1,0.2136019816156737,0.3822577663686933,1688177337.839929,1688181256.804165
