id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230706-151345-5632-vain-kill,0.1,6.5,0.2,0.0923214830930792,0.1126593088552476,1688652825.564648,1688679963.645997
230706-144103-5941-open-math,0.05,15.0,0.2,0.1866476043621454,0.2010713830370068,1688650863.594616,1688661230.738248
230706-174437-9336-lone-news,0.1,9.0,0.2,0.0981577180952409,0.1292510255467713,1688661877.934127,1688674690.372822
230706-145052-3654-wavy-good,0.1,5.5,0.2,0.1231045683064316,0.1320732159802226,1688651452.366214,1688672675.171792
230706-144038-6306-loud-ring,0.05,3.0,0.2,0.2075577872943706,0.2058170501344761,1688650838.631053,1688671884.667869
230706-144124-7005-used-poet,0.05,9.5,0.2,0.169979737316138,0.1796025695848661,1688650884.701128,1688671028.949773
230706-144443-9374-poor-edge,0.05,8.0,0.2,0.1540567806831252,0.1685241934073972,1688651083.937925,1688670940.734992
230706-144112-9568-used-poet,0.05,11.0,0.2,0.17360788115869,0.1843577310890406,1688650872.957658,1688670729.581672
230706-144442-0731-pure-film,0.05,7.5,0.2,0.1729824009646698,0.1852110466020262,1688651082.073547,1688670383.238825
230706-144110-4724-rash-race,0.05,13.0,0.2,0.1689664851629325,0.1865245108248737,1688650870.473315,1688670048.036097
230706-144035-7476-worn-menu,0.1,4.0,0.2,0.1382033570424679,0.1442672387037799,1688650835.748073,1688670015.410133
230706-144035-9768-long-tell,0.1,3.5,0.2,0.1448824354030933,0.1488964439747523,1688650835.977457,1688669962.442838
230706-144105-8602-dead-soft,0.05,14.0,0.2,0.1760911702318574,0.1864900811071672,1688650865.860728,1688669686.492934
230706-144610-3623-fake-card,0.1,5.0,0.2,0.1357905168903925,0.1433655410591886,1688651170.3628,1688669524.329481
230706-144609-8628-idle-move,0.1,5.25,0.2,0.1367683185356584,0.1449635760693673,1688651169.863423,1688669426.731055
230706-144112-4921-tart-page,0.05,7.0,0.2,0.1281651737358015,0.1386331389530762,1688650872.492886,1688669196.698953
230706-144058-7809-slim-duty,0.05,6.75,0.2,0.1673310407594117,0.1759370073115495,1688650858.781441,1688669200.899033
230706-144032-7480-cool-bend,0.05,4.5,0.2,0.1822043701294843,0.1815066084623814,1688650832.748498,1688668493.780125
230706-145007-6957-glum-hide,0.1,6.0,0.2,0.1273335927596072,0.1390360508326742,1688651407.705557,1688667585.561271
230706-145006-1353-true-hour,0.1,6.25,0.2,0.1251837852396554,0.1384701618827679,1688651406.136274,1688667581.40916
230706-144005-2568-tall-army,0.05,3.5,0.2,0.1874835804474843,0.1867122000655861,1688650805.257483,1688665419.06655
230706-144005-4484-rich-wind,0.05,4.0,0.2,0.1699981958159206,0.1712213220201155,1688650805.448821,1688665406.315743
230706-144100-2132-loud-hook,0.05,6.0,0.2,0.1444031675923364,0.1489337283717019,1688650860.213938,1688664986.304176
230706-224925-5749-dual-line,0.2,3.5,0.2,0.1394908505460486,0.1465069732229645,1688680166.889591,1688687260.986247
230706-203452-3445-calm-fish,0.1,15.0,0.2,0.1083162464494449,0.1574761617721598,1688672092.344904,1688686180.041132
230706-202712-2515-dear-stop,0.1,9.5,0.2,0.0756991123906379,0.1020173076951423,1688671632.252051,1688685900.62347
230706-151756-1834-half-hand,0.1,7.0,0.2,0.1120097917030489,0.1346421756508137,1688653076.184867,1688684331.684801
230707-011610-0175-left-form,0.2,15.0,0.2,0.0379577720196981,0.0931025629359169,1688688970.718493,1688700817.554037
230706-203234-2390-cute-bend,0.1,12.0,0.2,0.0795797900093069,0.1065919382318582,1688671954.239867,1688690197.044784
230706-205830-0467-spry-rise,0.15,3.0,0.2,0.2070164683584744,0.2051938554110546,1688673510.078826,1688690277.789981
230706-202828-6831-numb-pipe,0.1,11.0,0.2,0.1070238693341713,0.1484065864801919,1688671708.683654,1688689763.035572
230706-211904-6973-soft-copy,0.15,4.5,0.2,0.1342291509247488,0.1427185662398259,1688674744.714489,1688689327.210722
230706-211927-3343-high-skin,0.15,5.0,0.2,0.1292516275734168,0.1389398710293236,1688674767.334875,1688689331.171864
230706-203418-1731-twin-rich,0.1,14.0,0.2,0.1107081339250709,0.151802865957106,1688672058.173742,1688689636.534396
