id,config.atom_sigma,config.soap_cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230628-180203-3415-firm-zone,0.3,7.25,0.0386289607190305,0.0127164805616967,0.1670778762588467,1687971723.342216,1687976290.225607,random
230628-180158-1243-left-seat,0.3,7.25,0.000665961384235,0.0002756193150697,0.1947724998407363,1687971718.125313,1687976255.496998,random
230628-174331-7156-hard-hole,0.3,7.25,0.0036458836454073,0.0017172411929395,0.1834162115157924,1687970611.71651,1687975323.161518,random
230628-174334-1509-rich-pair,0.3,7.25,0.0064817560846378,0.0028186208830048,0.1784112548303665,1687970614.151843,1687975309.096742,random
230628-174639-7820-ajar-fish,0.3,7.25,0.0090833617044022,0.0037357365642183,0.1756761860642026,1687970799.783754,1687975205.993884,random
230628-174639-7773-slow-long,0.3,7.25,0.0342636258280672,0.0114905702895731,0.1674042117755876,1687970799.779237,1687975187.658899,random
230628-171945-8993-long-meal,0.3,7.25,0.4242567152659374,0.0642483054335872,0.1854949065952469,1687969185.901078,1687974304.086492,random
230628-181032-8420-pale-area,0.3,7.25,0.0003118041578268,8.661615502660559e-05,0.1974160403485648,1687972232.842752,1687977626.558444,random
230628-181035-3976-fake-poet,0.3,7.25,0.0070756754854379,0.0030335617240807,0.1776758205694097,1687972235.400203,1687977609.405411,random
230628-184006-9484-wavy-wash,0.3,7.25,0.0115104266680968,0.0045502518135826,0.1739294331813463,1687974006.951936,1687981642.322312,random
230628-193650-2055-fast-golf,0.3,7.25,0.000435916078252,0.0001486222889391,0.1964301473821903,1687977410.237663,1687985063.061044,random
230628-194614-0246-bony-neat,0.3,7.25,0.0003944077720512,0.0001270182072337,0.1967566189746014,1687977974.55624,1687983768.363846,random
230628-194614-8794-limp-salt,0.3,7.25,0.0592415254095446,0.0180671129555733,0.1675706910549997,1687977974.880385,1687983757.838906,random
230628-194823-1386-worn-bone,0.3,7.25,0.0001611591666819,2.815015973833097e-05,0.1985108173782478,1687978103.169499,1687983550.671742,random
230628-194823-5579-cold-hold,0.3,7.25,0.0010256812065311,0.0004767279657379,0.1926478129251448,1687978103.558753,1687983495.536446,random
230628-194503-8972-wary-peak,0.3,7.25,0.0074255477541908,0.0031584230633078,0.177277656742754,1687977903.902871,1687983045.138343,random
230628-194503-3720-zany-wife,0.3,7.25,0.0046762578185108,0.0021353895314364,0.1812398296397726,1687977903.391369,1687983027.633037,random
230628-233727-0287-nice-edge,0.3,7.25,0.9685621335867935,0.0948936498652002,0.201899131161379,1687991847.029505,1687998212.168768,random
230628-233728-6211-smug-mind,0.3,7.25,0.0023716574636682,0.0011556490423246,0.1870089541674107,1687991848.621889,1687998182.248921,random
230628-234703-6919-weak-king,0.3,7.25,0.2325173448678987,0.0463505762291614,0.1796363442168886,1687992423.692748,1687997354.716668,random
230628-234701-9454-lazy-work,0.3,7.25,0.0001072068904813,1.456182939962585e-05,0.1987940306379976,1687992421.953151,1687997398.841664,random
230628-233443-5522-easy-ship,0.3,7.25,0.0243295680833144,0.0085768370350897,0.1690477503423919,1687991683.62733,1687994848.390476,random
230629-004236-9525-deep-grab,0.3,7.25,0.0038967651178088,0.0018215011367014,0.1828372600215932,1687995756.976915,1688000506.812974,random
230628-235610-5244-wise-hell,0.3,7.25,0.0115944656999205,0.0045779733162401,0.1738779283853456,1687992970.525437,1687999315.243664,random
230628-235547-4261-lost-exam,0.3,7.25,0.1550367939643114,0.0361937447939384,0.1759661751310411,1687992947.565282,1687999304.838217,random
230628-233601-2830-sore-rate,0.3,7.25,0.0043627865270618,0.0020108458340985,0.1818485669984299,1687991761.288578,1687998894.920884,random
230628-233600-5609-twin-club,0.3,7.25,0.0008969713498779,0.0004054821536329,0.1933575434468761,1687991760.587056,1687998896.914773,random
230629-014416-6591-live-bite,0.3,7.25,0.660957729217135,0.0798093243589527,0.1922267495313117,1687999456.674751,1688006929.834641,random
230629-014244-6440-wild-beer,0.3,7.25,0.1524110202055457,0.0357977896268151,0.1758026119425288,1687999364.644673,1688006755.397463,random
230629-014243-8251-glum-zone,0.3,7.25,0.0007937206472771,0.0003476371057936,0.1939642775083904,1687999363.855752,1688006730.358074,random
230629-014328-3289-nice-mall,0.3,7.25,0.0682969929866163,0.020206659031246,0.1683595414844121,1687999408.329729,1688005912.225266,random
230629-020130-4001-poor-park,0.3,7.25,0.0003177610196752,8.93838405694343e-05,0.197368619336598,1688000490.406245,1688008890.21613,random
230629-045913-6262-last-base,0.3,7.25,0.0007814270686252,0.0003407193695769,0.1940390808486823,1688011155.437138,1688014436.080375,random
230629-045841-4218-taut-wing,0.3,7.25,0.0001359491509874,2.120895165791821e-05,0.1986539774964898,1688011121.431958,1688014453.620227,random
230629-045050-0962-trim-neat,0.3,7.25,0.0947977470279437,0.0258524819587904,0.1710874217123109,1688010650.12282,1688014382.348741,random
230629-060100-1783-busy-help,0.3,7.25,0.0583185567928127,0.0178422254446025,0.1675020963851611,1688014860.179225,1688018331.621991,random
230629-060338-0512-icky-home,0.3,7.25,0.5512781317447022,0.0731929952968121,0.1890345598792219,1688015018.051965,1688018080.301031,random
230629-054941-3800-fair-body,0.3,7.25,0.2946396563416678,0.0529750608152502,0.1817521298636042,1688014181.382847,1688017801.591271,random
230629-052506-7518-grim-pain,0.3,7.25,0.0027681198497456,0.0013369703308899,0.1857559429581571,1688012706.757098,1688017132.904113,random
230629-052505-8320-nice-home,0.3,7.25,0.0017503143120611,0.0008561246009258,0.1892950658808823,1688012705.845801,1688017121.558554,random
230629-045231-5534-each-tree,0.3,7.25,0.190206981611149,0.0411343808435202,0.1778587916389327,1688010751.56445,1688016079.333024,random
230629-045231-6546-last-rate,0.3,7.25,0.0063062048884425,0.0027542955894945,0.1786444341868145,1688010751.656497,1688016062.406909,random
230629-055955-0648-taut-gate,0.3,7.25,0.0037354554906178,0.0017546655193011,0.1832054712498376,1688014795.065483,1688018557.395234,random
