id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230214-150717-3917-lean-soft,1.5142642380752385,1.8453748062564808,0.0005237751837618,0.1905356485780401,0.1892326192851995,1676387237.392911,1676402211.074942,random
230214-150747-2967-spry-bone,0.1740627554665478,13.357823799072507,0.0403282012486189,0.0021028300058098,0.0592167802801238,1676387267.304491,1676407100.767102,random
230215-092837-7001-oily-look,0.8349376353533479,13.94156446456898,0.0002518802016857,0.0005910503400115,0.1535088905571477,1676453317.713582,1676473998.832499,random
230215-092839-5527-arid-bowl,1.522259943992723,8.101018877075273,0.2576313541778848,0.0921170683352836,0.1029592961613436,1676453319.554112,1676470650.226076,random
230215-142914-1348-back-sign,0.2922243092106262,5.628554590297321,0.0924542380716536,0.0071184308843824,0.0310593386825965,1676471354.14593,1676485060.86838,random
230215-142845-0048-arid-deal,1.8028314088688189,2.2844956355048667,0.0014540500486105,0.099161062726603,0.3380870785738373,1676471325.005559,1676484705.151083,random
230215-142501-3147-only-hook,0.1287761256233575,1.8844124412084813,0.4020073614761548,0.1907579184803275,0.1893356104430101,1676471101.321885,1676483944.110993,random
230215-142410-2773-that-hang,1.6482536617238024,1.8313276449671665,0.000360653375099,0.1911495194071804,0.189882849618923,1676471050.278054,1676483856.45809,random
230215-132702-8103-idle-golf,0.7901817210593436,9.0581932963187,0.0005387297596302,0.0004930182874713,0.0734734676460559,1676467622.814291,1676483511.206921,random
230215-132633-4419-wide-fact,0.3467714663551193,7.215088386432053,0.0918783622051727,0.0041677586856713,0.0348513443899493,1676467593.452417,1676482583.326438,random
230215-181639-1817-meek-meat,0.6229517445546495,8.189993184138501,0.0005031644652359,0.0001170649045137,0.0569340245746311,1676484999.182496,1676493222.539633,random
230215-154956-7487-open-draw,1.640179218802733,6.044556358541818,0.0558980934613388,0.0574944426486761,0.0688911012503287,1676476196.766592,1676490491.858809,random
230215-142409-6736-rich-jump,0.8696092990947706,14.678374122711796,0.7703406884261137,0.1041522179849316,0.1266372939136892,1676471049.67432,1676489987.790025,random
230215-180607-1457-rosy-shot,1.7296658002371468,13.118860456097911,0.0356204780161698,0.0845729104639361,0.114165210834879,1676484367.147714,1676501260.504367,random
230215-180606-6221-bold-step,0.8488222360880682,7.435988979633456,0.0646794593950685,0.023071721276825,0.0452924408036534,1676484366.638101,1676497961.971069,random
230215-200258-7972-free-high,1.4332127663036824,9.89291167047536,0.0108473628979697,0.0387566832841985,0.0783492169929082,1676491378.810597,1676506230.427059,random
230215-203700-4884-mild-mine,1.8890737173641288,3.06741233020592,0.0003009906448247,0.0405151953833065,0.0661473707000918,1676493420.489389,1676505238.361047,random
230215-201726-3946-blue-many,0.9497182307146538,5.18812825166415,0.013575481876569,0.0163849281607455,0.0433073453629514,1676492246.398891,1676503689.840803,random
230215-200257-8638-deep-bath,1.8008271065636814,14.166665923088509,0.0002444342351793,0.02028348535496,0.2490893709679606,1676491377.874575,1676509113.236294,random
230215-221101-1950-sour-hunt,0.3117793980897501,9.379155543026208,0.0002366742068915,1.6219457596160466e-06,0.0510920573586293,1676499061.217149,1676514410.983147,random
230215-220549-8626-damp-love,0.8885806324078124,9.219007693531308,0.009122448954375,0.0103641023438874,0.0652665197099191,1676498749.893484,1676513495.51419,random
230215-221056-5917-pink-sock,0.9935690310686718,1.6091677060558869,0.1959945368023213,0.214200161392924,0.2134062152104041,1676499056.592788,1676512268.466608,random
230215-230719-8968-wary-year,0.5093269046123172,12.062229262618526,0.0046477386443263,0.0014557320126522,0.0735784527523888,1676502439.909582,1676519355.905388,random
230216-000152-6128-evil-gate,0.9871631628856452,1.9710094113037204,0.0202018957765745,0.1782760109066536,0.1778163999791323,1676505712.614017,1676518749.075241,random
230216-021831-2750-full-term,0.2146963151005025,3.643404668658033,0.0332732068333621,0.0123540126872461,0.0416863359535613,1676513911.277168,1676526699.100558,random
230216-011407-4350-flat-face,1.972082968225493,11.366865585377102,0.1786909033431821,0.1341708340637132,0.145548651137694,1676510047.439606,1676526097.357973,random
230216-000153-6418-cute-hunt,0.6002014061603267,12.29659144090666,0.0005292346004398,0.0003119322195224,0.0959881146670636,1676505713.643778,1676522894.943917,random
230216-001713-9931-even-view,0.1287373475922494,8.936916585642667,0.0256072258229168,0.0030102639716885,0.0495311187063862,1676506633.993877,1676521643.86499,random
230216-055817-6010-zany-list,0.1437926808005664,5.248300133976429,0.0016352182405294,0.0013864873644174,0.0452441317150202,1676527097.603065,1676540988.965101,random
230216-055826-9609-male-sell,0.2136260297723885,2.102490332144468,0.0025051144064973,0.1377147836087881,0.1418610617838359,1676527106.973569,1676540696.551943,random
230216-045912-2959-smug-blow,0.6997936093917818,8.438711164212503,0.0182191055492225,0.0068194659786419,0.0515312150822731,1676523552.296644,1676537193.501679,random
230216-041019-2082-long-star,1.2821678366240177,9.8585440476398,0.0037527242898868,0.020457256041552,0.0950093382222929,1676520619.209102,1676535826.185616,random
230216-035052-1851-rash-boat,0.1732308043166547,11.392518368188602,0.0008503225450611,8.496022621611396e-06,0.0580836187088339,1676519452.200667,1676534986.321668,random
230216-023209-0009-pale-slip,1.7439635718326023,8.073563164284355,0.0010588437886533,0.0248206293468585,0.0879703470611922,1676514729.017402,1676529349.888614,random
230216-023209-8411-ajar-knee,1.9754154968147253,13.415882817040696,0.0015157288004979,0.0521582800279497,0.1655631783839568,1676514729.842154,1676532298.747972,random
