id,config.atom_sigma,config.soap_cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230704-102239-2336-fast-call,0.35,9.5,0.0001933265994985,0.0004636716606823,0.1395397223598942,1688462559.235128,1688473396.641653,random
230704-094730-1979-best-size,0.35,9.5,0.0081443048894666,0.0037218932544208,0.0883105426607711,1688460450.199104,1688472430.228226,random
230704-094526-3751-oily-army,0.35,9.5,0.0031890979676101,0.0018401347291546,0.0930135492686045,1688460326.377191,1688472110.90619,random
230704-101823-8345-gray-hand,0.35,9.5,0.0002235748026516,0.0004918780854444,0.1325286511232869,1688462303.837428,1688470737.959596,random
230704-094520-6010-safe-host,0.35,9.5,0.0258521782237819,0.0083374211999099,0.0825844004954701,1688460320.605036,1688470352.102956,random
230704-094513-2700-rude-fall,0.35,9.5,0.0020941663451307,0.0013852348208088,0.0948385208478952,1688460313.271483,1688469824.98115,random
230704-094457-0626-taut-rope,0.35,9.5,0.1434536663877412,0.0192808567498864,0.0795099688636251,1688460297.064615,1688469768.415709,random
230704-094538-4588-bony-head,0.35,9.5,0.0114919047112258,0.0048217723932187,0.0865505408995716,1688460338.460782,1688468868.494693,random
230704-094523-3564-full-lock,0.35,9.5,0.1583566859753914,0.0200695830047086,0.0792842118134524,1688460323.358434,1688467946.570335,random
230704-132933-9620-some-cell,0.35,9.5,0.3742020082002293,0.0280393720977444,0.0779685202008003,1688473773.991569,1688487302.443793,random
230704-103315-9927-wiry-wing,0.35,9.5,0.0320433350300283,0.009461809692047,0.0817995978695947,1688463195.993683,1688475479.497193,random
230704-140413-1455-lean-roof,0.35,9.5,0.184558785845018,0.0213372757147972,0.078933103514692,1688475853.181145,1688485271.626274,random
230704-141323-9919-wiry-bake,0.35,9.5,0.0058506659932137,0.0028880411639701,0.0900156146819879,1688476403.992739,1688484646.331902,random
230704-135332-9050-free-name,0.35,9.5,0.0115446083538972,0.0048380274904188,0.0865271828114369,1688475213.110468,1688483760.914557,random
230704-131125-7607-neat-gene,0.35,9.5,0.0110042207238582,0.0046698550915906,0.0867718542567455,1688472685.761518,1688483794.749885,random
230704-124100-9312-male-past,0.35,9.5,0.0039219782973319,0.0021368681569291,0.0920335746575065,1688470860.931968,1688482416.565874,random
230704-133053-6916-tiny-boot,0.35,9.5,0.0399980710817565,0.0106970707414696,0.0812210269830323,1688473853.984655,1688481862.406103,random
230704-120738-7414-same-back,0.35,9.5,0.0003978300232569,0.0006154278693718,0.1125717463309897,1688468858.742178,1688477768.282029,random
230704-171758-0062-tart-wake,0.35,9.5,0.0001100263270909,0.0003658322872487,0.1722329058317845,1688487478.007811,1688497296.154931,random
230704-164947-7157-nice-step,0.35,9.5,0.0447382503323403,0.0113484066729262,0.081017405931026,1688485787.716464,1688494112.791612,random
230704-161445-4449-thin-feel,0.35,9.5,0.4760236583005415,0.030676044861694,0.0780397859500477,1688483686.472583,1688491461.280065,random
230704-140725-8753-this-fact,0.35,9.5,0.0015291764451469,0.0011440408407169,0.0962088892358496,1688476045.877887,1688489502.826778,random
230704-173656-6688-pink-case,0.35,9.5,0.0022575762065327,0.0014540689042006,0.0945236988734534,1688488616.670168,1688501601.236033,random
230704-171735-5577-flat-disk,0.35,9.5,0.3890303852011343,0.0284525502204761,0.077964025916982,1688487455.590278,1688499925.287088,random
230704-170103-4993-numb-back,0.35,9.5,0.0276273171365761,0.0086774195940258,0.0823199387118215,1688486463.573549,1688498292.189571,random
230704-225901-4213-bony-quit,0.35,9.5,0.0047913273135274,0.0024809038853242,0.0910375350506786,1688507941.422181,1688517520.93718,random
230704-233818-7766-twin-door,0.35,9.5,0.0005300528583323,0.000688394670788,0.1064935463209004,1688510298.829601,1688518572.116449,random
230705-002756-0064-pale-nail,0.35,9.5,0.0439113952707156,0.0112386552748547,0.0810475804120318,1688513276.021452,1688526797.491785,random
230705-002756-5201-pink-bowl,0.35,9.5,0.6750411189526916,0.0348414097455263,0.0786356055522241,1688513276.525917,1688526523.138427,random
230704-233011-6451-lazy-town,0.35,9.5,0.0025413051242391,0.0015727587077551,0.0940213881333208,1688509811.665074,1688524483.073965,random
230704-233031-0426-used-turn,0.35,9.5,0.0267792547111726,0.0085169128433464,0.0824418585078678,1688509831.044988,1688524436.700671,random
230704-232825-8738-wiry-risk,0.35,9.5,0.0027698630934882,0.001667653253596,0.0936471412563752,1688509705.874539,1688523558.583623,random
230704-231224-8190-weak-lift,0.35,9.5,0.0014559975694617,0.0011123530846295,0.0964452679350768,1688508744.832743,1688522656.636601,random
230704-235342-3271-rude-knee,0.35,9.5,0.0011303238880612,0.0009695293455738,0.0978770887484291,1688511222.343106,1688521851.859277,random
