soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
12.0,0.4,0.8431682747262083,7,0.07572065526263887,0.26210727525836125
12.0,0.4,0.8431682747262083,15,0.13249437254379157,0.2554584421305239
12.0,0.4,0.8431682747262083,31,0.16917570445010915,0.24948642009503788
12.0,0.4,0.8431682747262083,62,0.19024882834228524,0.23445099950122997
12.0,0.4,0.8431682747262083,125,0.1975984891224887,0.22537666240371418
12.0,0.4,0.8431682747262083,250,0.18655637071176426,0.21746594653043355
12.0,0.4,0.8431682747262083,500,0.1893214370015131,0.2086890307266695
12.0,0.4,0.8431682747262083,1000,0.1884643102052048,0.20335710792204437
12.0,0.4,0.8431682747262083,2000,0.1884218022827901,0.19936244485488483
12.0,0.4,0.8431682747262083,4000,0.18611726257355996,0.197215616816174
12.0,0.4,0.8431682747262083,8000,0.1847656007900814,0.19529291239203167
12.0,0.4,0.8431682747262083,16000,0.1821362585652691,0.19383861523790158
12.0,0.4,0.8431682747262083,32000,0.17980927342048855,0.19260019225138622
