soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.5,0.35,0.1732385328767658,7,0.026330692308798885,0.2744717187921272
9.5,0.35,0.1732385328767658,15,0.0421886911477627,0.25813740744365166
9.5,0.35,0.1732385328767658,31,0.06001825849578367,0.22962222878175384
9.5,0.35,0.1732385328767658,62,0.0672162298610233,0.19094580640517772
9.5,0.35,0.1732385328767658,125,0.0735666284298137,0.1616079360170533
9.5,0.35,0.1732385328767658,250,0.07532874735015156,0.1351819113184341
9.5,0.35,0.1732385328767658,500,0.07646992242308866,0.12558388028689393
9.5,0.35,0.1732385328767658,1000,0.08271926315362334,0.11980435753007472
9.5,0.35,0.1732385328767658,2000,0.08596205786110053,0.1148344809189537
9.5,0.35,0.1732385328767658,4000,0.08543615827885603,0.11305031341992913
9.5,0.35,0.1732385328767658,8000,0.08560235229708894,0.10901197360315684
9.5,0.35,0.1732385328767658,16000,0.08397843980610108,0.10748382942983467
9.5,0.35,0.1732385328767658,32000,0.08271612388067416,0.10754258145972129
