soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
7.25,0.3,0.0924542380716536,7,0.0017107476101395828,0.2467583456916144
7.25,0.3,0.0924542380716536,15,0.0018493370861625673,0.21652230710252768
7.25,0.3,0.0924542380716536,31,0.0023508139973918594,0.1648487778130928
7.25,0.3,0.0924542380716536,62,0.003038769198089995,0.12396890407726147
7.25,0.3,0.0924542380716536,125,0.003773130903122048,0.10837924748513368
7.25,0.3,0.0924542380716536,250,0.004473017517624881,0.08819027433604408
7.25,0.3,0.0924542380716536,500,0.005591443405782533,0.07374802040961943
7.25,0.3,0.0924542380716536,1000,0.006724141766860083,0.06275772756420663
7.25,0.3,0.0924542380716536,2000,0.007578687389376062,0.05750564526705917
7.25,0.3,0.0924542380716536,4000,0.008368711413331953,0.05123130947351008
7.25,0.3,0.0924542380716536,8000,0.008685079505098435,0.04790663619061119
