soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
12.0,0.4,0.8431682747262083,7,0.012107082690371116,0.2530979815058184
12.0,0.4,0.8431682747262083,15,0.015944258784733767,0.24056994438653995
12.0,0.4,0.8431682747262083,31,0.019808277102209462,0.19659184519152584
12.0,0.4,0.8431682747262083,62,0.024235936009494648,0.16190527322637333
12.0,0.4,0.8431682747262083,125,0.026269375542213386,0.12694136854593052
12.0,0.4,0.8431682747262083,250,0.027132884041894616,0.10422452927757823
12.0,0.4,0.8431682747262083,500,0.029728094021242168,0.09434377063281627
12.0,0.4,0.8431682747262083,1000,0.03138658780239164,0.0810166789695241
12.0,0.4,0.8431682747262083,2000,0.03128026089922238,0.07330150529683362
12.0,0.4,0.8431682747262083,4000,0.03142264899811158,0.06973710737267222
12.0,0.4,0.8431682747262083,8000,0.031836568596953774,0.068410635371879
12.0,0.4,0.8431682747262083,16000,0.030738270157795206,0.06623915022747595
12.0,0.4,0.8431682747262083,32000,
