soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
12.0,0.4,0.8431682747262083,7,0.11889547194228071,0.4177773872757551
12.0,0.4,0.8431682747262083,15,0.1945415840345714,0.39062235477767515
12.0,0.4,0.8431682747262083,31,0.2905613642666206,0.3996268454885648
12.0,0.4,0.8431682747262083,62,0.2799083729683879,0.41039482828015544
12.0,0.4,0.8431682747262083,125,0.28058735791222145,0.4114074025181117
12.0,0.4,0.8431682747262083,250,0.2799386886286205,0.4068229656394207
12.0,0.4,0.8431682747262083,500,0.25955510516156893,0.4002074095305848
12.0,0.4,0.8431682747262083,1000,0.25294451979987753,0.4067983091475355
12.0,0.4,0.8431682747262083,2000,0.24503345571115562,0.4014849660396746
12.0,0.4,0.8431682747262083,4000,0.23820253667498106,0.39321461852267214
12.0,0.4,0.8431682747262083,8000,0.23023088677219722,0.40709362019032697
12.0,0.4,0.8431682747262083,16000,0.22401622551411848,0.4162120843728038
