soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
7.25,0.3,0.0924542380716536,7,0.0014102606400637,0.2485253096341342
7.25,0.3,0.0924542380716536,15,0.0015902989202808,0.2182591131410162
7.25,0.3,0.0924542380716536,31,0.0018424237250213,0.1708649486256167
7.25,0.3,0.0924542380716536,62,0.0023698540675862,0.1286725298510999
7.25,0.3,0.0924542380716536,125,0.0028317217983549,0.110215100901281
7.25,0.3,0.0924542380716536,250,0.0033415605008899,0.0901641094704937
7.25,0.3,0.0924542380716536,500,0.0041668274101619,0.0735862614587005
7.25,0.3,0.0924542380716536,1000,0.0050513410894915,0.0628113250854201
7.25,0.3,0.0924542380716536,2000,0.0059251828022753,0.0575281211567543
7.25,0.3,0.0924542380716536,4000,0.0066583014649019,0.0514661988062812
7.25,0.3,0.0924542380716536,8000,0.0069910003710718,0.0461416678681283
7.25,0.3,0.0924542380716536,16000,0.0071194790323578,0.0433728821921995
7.25,0.3,0.0924542380716536,32000,0.0071833070882311,0.0420807579810328
