soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
7.25,0.3,0.0924542380716536,7,0.0018461573905119166,0.4070576883773464
7.25,0.3,0.0924542380716536,15,0.00038026381164839628,0.3965805444654308
7.25,0.3,0.0924542380716536,31,0.00768228050233621,0.3723678377831722
7.25,0.3,0.0924542380716536,62,0.011049157363314518,0.3892744332582004
7.25,0.3,0.0924542380716536,125,0.011174319185243664,0.3554982360249191
7.25,0.3,0.0924542380716536,250,0.015195996503637224,0.32504233276003425
7.25,0.3,0.0924542380716536,500,0.01806145453665051,0.2655086828383397
7.25,0.3,0.0924542380716536,1000,0.02483883229601995,0.2326812194224349
7.25,0.3,0.0924542380716536,2000,0.027687021845582784,0.22268590940529026
7.25,0.3,0.0924542380716536,4000,0.02830302130204514,0.20399021915106408
7.25,0.3,0.0924542380716536,8000,0.02735144553225129,0.1796650840252835
7.25,0.3,0.0924542380716536,16000,0.025180175375842006,0.16820559582648187
