id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230724-153613-8364-poor-post,0.05,9.5,0.2,0.1687089052520791,0.174407036519844,1690209373.837293,1690211456.388832
230724-153611-6766-deep-pull,0.05,7.75,0.2,0.1677009730128874,0.1741407219030784,1690209371.678022,1690211407.137115
230724-153613-9554-good-hunt,0.05,8.0,0.2,0.1709385247368565,0.1752385060270748,1690209373.955959,1690211390.366914
230724-153611-6766-rare-ball,0.05,9.25,0.2,0.1693872180468558,0.1744010285472849,1690209371.678033,1690211426.389343
230724-153618-3754-male-bird,0.05,8.75,0.2,0.1701236955829186,0.175328857366609,1690209378.376801,1690211407.1353
230724-153612-6606-rosy-book,0.05,8.5,0.2,0.1704463930879928,0.1752375616070039,1690209372.661111,1690211424.264666
230724-153618-6511-soft-lead,0.05,9.75,0.2,0.1700361132484316,0.1782172814958603,1690209378.651951,1690211440.980925
230724-153616-6138-last-body,0.05,10.0,0.2,0.1712358298088739,0.1798572419996302,1690209376.614338,1690211360.346212
230724-153609-4912-lone-tell,0.05,14.75,0.2,0.1690678944333075,0.1775767111463602,1690209369.492204,1690211301.702082
230724-153607-3916-pure-band,0.05,15.0,0.2,0.16941742576475,0.1765631269524598,1690209367.392432,1690211286.27788
230724-153613-8363-fair-cost,0.05,9.0,0.2,0.1691130386368135,0.1774331854419984,1690209373.836946,1690211323.471108
230724-154817-5490-evil-sand,0.1,14.25,0.2,0.1439283363901524,0.161703330917327,1690210097.549718,1690211831.900395
230724-154816-8633-weak-land,0.1,14.0,0.2,0.145509379115595,0.1592568210742875,1690210096.86436,1690211834.428542
230724-153602-0315-ajar-list,0.05,13.5,0.2,0.1693463999689035,0.1759948026691563,1690209362.032082,1690211225.457027
230724-153637-5194-full-hour,0.1,4.5,0.2,0.1780824085759087,0.1797009809635878,1690209397.519962,1690211042.579054
230724-153612-6660-half-wave,0.1,12.0,0.2,0.1482224424683595,0.1623384661615069,1690209372.666572,1690211170.133188
230724-153611-8031-rich-view,0.1,12.25,0.2,0.1463338801161994,0.1631409103808321,1690209371.803694,1690211163.195374
230724-153613-0876-left-show,0.1,11.5,0.2,0.1423230657333404,0.1544857427599026,1690209373.088214,1690211159.527031
230724-153613-1436-twin-rain,0.1,11.25,0.2,0.1462066913849797,0.1597655935606121,1690209373.144213,1690211149.340237
230724-153552-9859-that-poet,0.05,12.0,0.2,0.1684929298212001,0.1742263322744106,1690209352.98646,1690211168.83147
230724-153611-1745-zany-kiss,0.1,11.75,0.2,0.1500998940386186,0.1625719363877339,1690209371.175066,1690211143.028942
230724-153553-2728-weak-jump,0.05,12.25,0.2,0.1698868771330554,0.1766903740483557,1690209353.273251,1690211166.094177
230724-153553-4295-taut-head,0.05,11.5,0.2,0.1702096901007401,0.1763986256791344,1690209353.429965,1690211163.388601
