id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230725-053101-6953-tiny-baby,0.05,7.75,0.2,0.096326782301353,0.1213982548817998,1690259461.695878,1690261702.775503
230725-054354-8228-half-bill,0.1,4.0,0.2,0.0652335308862119,0.0917010408874147,1690260234.823305,1690261636.741992
230725-054312-8352-tall-mode,0.1,2.5,0.2,0.129332317362633,0.1365512667501618,1690260192.835727,1690261506.889363
230725-052047-8455-twin-swim,0.05,6.75,0.2,0.1067613967001856,0.1292288247768418,1690258847.84617,1690261257.230649
230725-052041-9099-wavy-read,0.05,6.25,0.2,0.0968814427596935,0.1198239099743884,1690258841.91042,1690261169.262321
230725-052014-4731-lost-keep,0.05,4.0,0.2,0.1247980428276663,0.1426797172015006,1690258814.474382,1690260928.79563
230725-051836-6106-fair-sale,0.05,5.5,0.2,0.1209811477363354,0.148007049519495,1690258716.610989,1690260536.976297
230725-051926-1622-high-hire,0.05,5.25,0.2,0.1061663224351339,0.126732693337933,1690258766.16315,1690260609.215097
230725-051504-4325-glum-sort,0.05,3.0,0.2,0.1490412224170897,0.1534490895577516,1690258504.433082,1690260413.082859
230725-051423-2406-sour-face,0.05,2.5,0.2,0.1460331998026859,0.1504030986669907,1690258463.2411,1690260364.909422
230725-051528-4931-cute-life,0.05,4.5,0.2,0.1193093117305231,0.1402435340276931,1690258528.493733,1690260017.1485
230725-051438-2531-lost-fear,0.05,3.5,0.2,0.1289450851227757,0.1416627035071288,1690258478.253866,1690259880.116389
230725-061425-5196-glum-hold,0.1,13.0,0.2,0.0333999495047568,0.0879478616561341,1690262065.520366,1690267179.449229
230725-061143-4366-ripe-note,0.1,15.0,0.2,0.0358193414360224,0.0895535972976991,1690261903.43709,1690266820.295953
230725-055558-3722-some-list,0.1,6.75,0.2,0.0359368132764696,0.0686123026047525,1690260958.372763,1690262810.616081
230725-055558-1424-twin-most,0.1,7.0,0.2,0.0350978044917311,0.0666232767493484,1690260958.142908,1690262794.317642
230725-053341-7677-deep-name,0.05,9.0,0.2,0.1102916255042704,0.1405150308945813,1690259621.769034,1690262594.49412
230725-055219-6506-rare-work,0.1,5.75,0.2,0.0412437266621938,0.0727693445253509,1690260739.651123,1690262458.450253
230725-055104-2744-idle-pool,0.1,5.5,0.2,0.0433314871300968,0.0725390399964247,1690260664.275174,1690262229.851946
230725-054911-4381-oily-goal,0.1,5.0,0.2,0.0476469054187837,0.0820072984237805,1690260551.438696,1690262216.139121
230725-053254-9000-deep-clue,0.05,8.5,0.2,0.1144520380725049,0.1392586055196856,1690259574.900632,1690262082.702391
230725-055002-1088-only-post,0.1,5.25,0.2,0.0479938006543317,0.0814166938429573,1690260602.109434,1690262063.728839
230725-054330-7095-dead-sell,0.1,3.5,0.2,0.0829927072866743,0.1052279567697071,1690260210.709923,1690261832.756862
230725-053210-0955-fake-host,0.05,8.0,0.2,0.0873004858039133,0.1097491210340856,1690259530.096142,1690261949.366153
230725-054332-7831-ajar-farm,0.1,3.0,0.2,0.1277861178433343,0.1359848678024076,1690260212.783696,1690261736.023018
230725-063233-6026-ripe-gene,0.15,7.25,0.2,0.0182166903173449,0.0540042794772452,1690263153.603261,1690264864.764152
230725-062831-7844-fond-nose,0.15,7.0,0.2,0.0186249099350042,0.0542806089163721,1690262911.785104,1690264693.550728
230725-062817-9018-weak-film,0.15,6.75,0.2,0.0204658696812998,0.0541970243558913,1690262897.902431,1690264675.108914
230725-062620-6787-puny-crew,0.15,6.5,0.2,0.0213838447029048,0.055055907494883,1690262780.679273,1690264369.014561
230725-054231-1150-weak-site,0.05,14.0,0.2,0.117785574929398,0.1430965817946499,1690260151.115471,1690264357.196488
230725-062617-9567-dead-disk,0.15,6.25,0.2,0.0235429185357654,0.0569412989677453,1690262777.957261,1690264327.190527
230725-062426-0077-lame-club,0.15,6.0,0.2,0.0252753565593246,0.0587673681904584,1690262666.008092,1690264339.470904
230725-062427-3407-evil-task,0.15,5.5,0.2,0.0284603823373274,0.0621011716879568,1690262667.341163,1690264328.357969
230725-062429-9414-drab-plan,0.15,5.25,0.2,0.030192773861135,0.0638020540857758,1690262669.941952,1690264252.18566
230725-060323-0708-real-sick,0.1,11.0,0.2,0.0360905845577365,0.0886360288601079,1690261403.07139,1690264100.703748
230725-055942-3547-bold-road,0.1,10.0,0.2,0.0319851700013412,0.0724791358727763,1690261182.370316,1690263853.547406
230725-060111-6947-tiny-draw,0.1,9.0,0.2,0.0323323117193715,0.076710023378814,1690261271.695378,1690263826.591752
230725-054037-8951-fair-kill,0.05,13.0,0.2,0.1068705456962498,0.1365061223836007,1690260037.895643,1690263869.630228
230725-053920-0859-lone-main,0.05,11.0,0.2,0.0950847151549053,0.1193591335980655,1690259960.086587,1690263862.304297
230725-061942-4027-dark-flow,0.15,5.0,0.2,0.0323852206203029,0.0637528270834763,1690262382.403409,1690263849.982734
230725-061849-5646-sane-site,0.15,4.5,0.2,0.0398762103909957,0.0791663776853971,1690262329.565211,1690263763.936974
230725-061143-7496-damp-math,0.15,3.0,0.2,0.1244946530560267,0.1345295663847078,1690261903.750052,1690263638.171651
230725-061426-6588-both-type,0.15,3.5,0.2,0.0700580112316799,0.0977651055975717,1690262066.659291,1690263757.685841
230725-055623-2916-sick-game,0.1,6.0,0.2,0.040296833479741,0.0717902797900366,1690260983.308028,1690263520.462819
230725-055626-1562-zany-city,0.1,6.5,0.2,0.0387719699681522,0.0700977559615357,1690260986.157051,1690263470.078566
230725-055942-7087-rich-dump,0.1,9.5,0.2,0.0295526105573507,0.0683134930998698,1690261182.709349,1690263641.909404
230725-055623-4717-sour-town,0.1,6.25,0.2,0.0395796011005111,0.0691858018334257,1690260983.47223,1690263440.567455
230725-060116-5118-tart-hope,0.1,8.5,0.2,0.0407988974146756,0.0916917430347675,1690261276.512348,1690263640.751854
230725-053429-8428-wiry-diet,0.05,10.0,0.2,0.0999987748098151,0.1301974844164005,1690259669.843222,1690263654.064926
230725-061648-0470-used-lady,0.15,4.0,0.2,0.0506481259226845,0.080967804622593,1690262208.047513,1690263598.768624
230725-055729-0675-pale-bath,0.1,8.0,0.2,0.0387142510483981,0.080431225129129,1690261049.766945,1690263207.0542
230725-053339-0055-free-safe,0.05,9.5,0.2,0.0975122409678932,0.1225001247952006,1690259619.006111,1690263129.537527
230725-070428-1059-numb-loan,0.2,8.0,0.2,0.0111921737652358,0.0545088916489247,1690265068.106498,1690267025.760978
230725-070425-7928-deep-dust,0.2,9.0,0.2,0.0103994640920061,0.0545255224468115,1690265065.793312,1690267012.378242
230725-065336-0841-fine-swim,0.15,10.0,0.2,0.015249906435867,0.0634515780704491,1690264416.084629,1690267008.062065
230725-065759-0770-dark-suck,0.2,4.0,0.2,0.0464140115307327,0.0825058180817511,1690264679.078378,1690266741.009834
230725-070402-2553-rosy-mood,0.2,7.25,0.2,0.0125186224899631,0.0538915932956792,1690265042.365467,1690266894.826492
230725-070432-8430-tart-pull,0.2,7.75,0.2,0.0116007190773125,0.054146033746174,1690265072.843767,1690266867.825671
230725-070428-8681-tart-deal,0.2,7.5,0.2,0.0114976164365229,0.0535490802865729,1690265068.868852,1690266792.766564
230725-065853-5732-taut-sick,0.2,6.5,0.2,0.0158060158483062,0.0532052910296316,1690264733.573729,1690266738.558514
230725-065842-6709-sore-boot,0.2,6.25,0.2,0.0184492279171997,0.0545691643059143,1690264722.696994,1690266648.378041
230725-065708-9470-fond-rock,0.2,2.5,0.2,0.1268762174588663,0.1349968281382073,1690264628.947661,1690266518.582716
230725-070313-2907-wild-wait,0.2,7.0,0.2,0.0137564880467034,0.0519075242325634,1690264993.291174,1690266608.569136
230725-054642-1615-pure-gene,0.05,12.0,0.2,0.106740245849206,0.1331660833310303,1690260402.162101,1690266538.890001
230725-065200-6391-puny-lack,0.15,9.5,0.2,0.0150025108059518,0.0578613794671177,1690264320.6398,1690266480.359281
230725-065550-9780-able-king,0.2,5.0,0.2,0.0284902800010192,0.0594977620740024,1690264550.97856,1690266316.173469
230725-065516-4082-bare-walk,0.2,3.0,0.2,0.1228990824782722,0.1338084142203222,1690264516.408674,1690266159.533764
230725-065710-0523-vast-rope,0.2,6.0,0.2,0.020661378512202,0.055676827814165,1690264630.0529,1690266141.813511
230725-064436-0198-dark-pipe,0.15,9.0,0.2,0.0147959364535939,0.0590163085327519,1690263876.020284,1690266082.737837
230725-065559-6159-firm-star,0.2,5.75,0.2,0.022900969524248,0.0589008184397697,1690264559.616444,1690266071.860238
230725-065552-3333-dead-trip,0.2,5.5,0.2,0.0247120111981824,0.0595420335236121,1690264552.333861,1690266068.318264
230725-064435-0887-worn-term,0.15,8.5,0.2,0.0159686366769406,0.0606974835954527,1690263875.105445,1690266030.984181
230725-065445-0216-dead-view,0.2,4.5,0.2,0.035189946045204,0.0754260059892073,1690264485.022076,1690265913.967222
230725-063943-5802-rare-feel,0.15,7.5,0.2,0.017663622222838,0.0594465971227159,1690263583.580762,1690265562.932666
230725-063940-7323-poor-shop,0.15,8.0,0.2,0.0179877089488829,0.0620018537103366,1690263580.73328,1690265519.265076
230725-063942-2902-soft-rush,0.15,7.75,0.2,0.0173883772263294,0.0609471705092056,1690263582.290683,1690265477.766665
230725-054326-0044-wiry-lift,0.05,15.0,0.2,0.1154719760074245,0.1433157029013514,1690260206.004928,1690265022.793709
230725-060510-0968-warm-rent,0.1,12.0,0.2,0.0358508601952863,0.0903331180749195,1690261510.109706,1690264971.731583
230725-074225-4619-sane-fear,0.25,7.0,0.2,0.0114470388285464,0.0510487546595991,1690267345.462576,1690268956.41553
230725-073957-8456-only-harm,0.25,6.75,0.2,0.0129279397174938,0.0503352059350609,1690267197.846137,1690268804.576486
230725-073337-8608-wiry-camp,0.25,5.25,0.2,0.025392096622859,0.0595536270631032,1690266817.861369,1690268529.796522
230725-073337-4597-mean-bath,0.25,5.0,0.2,0.0275971664473165,0.0588179234749159,1690266817.504243,1690268510.642604
230725-065353-8896-wild-wood,0.15,14.0,0.2,0.0167624816791199,0.0839136119606277,1690264433.917968,1690268348.770666
230725-073431-6867-some-side,0.25,5.5,0.2,0.0235208548216152,0.0577217324174093,1690266871.687165,1690268307.07904
230725-073244-5953-keen-fill,0.25,4.5,0.2,0.0342343998229588,0.0735173211086452,1690266764.595836,1690268198.290806
230725-073257-5178-icky-line,0.25,4.0,0.2,0.0458120065911836,0.0819335253492689,1690266777.518463,1690268153.81864
230725-071234-3684-near-hole,0.2,11.0,0.2,0.009759171478177,0.0629384177452695,1690265554.369012,1690268157.624856
230725-065358-9900-long-ball,0.15,13.0,0.2,0.0151426631855138,0.076434682287412,1690264438.990417,1690267942.806245
230725-073034-9725-posh-crew,0.25,3.5,0.2,0.0627470635587701,0.0924126459804998,1690266634.972979,1690267962.44335
230725-072420-4363-safe-sock,0.25,3.0,0.2,0.1222485386516917,0.1335790749741606,1690266260.466387,1690267890.53878
230725-065359-7216-mild-kick,0.15,12.0,0.2,0.013612023213093,0.0708865880317178,1690264439.722024,1690267732.204811
230725-072322-1132-true-lift,0.25,2.5,0.2,0.1264142446530627,0.1344381710837464,1690266202.113643,1690267710.056384
230725-070933-3590-wiry-vast,0.2,10.0,0.2,0.0097069001573853,0.0594755588709459,1690265373.359746,1690267664.127073
230725-070937-3595-cold-hour,0.2,9.5,0.2,0.009944083701092,0.0561015912807256,1690265377.360192,1690267560.061805
230725-081417-3166-poor-main,0.3,7.5,0.2,0.0100857403284991,0.0522575438821012,1690269257.317133,1690271204.165982
230725-081306-1088-ajar-mess,0.3,7.0,0.2,0.0111664229076943,0.0520523177962374,1690269186.109369,1690271094.735737
230725-074917-7174-thin-town,0.25,12.0,0.2,0.0091837690064542,0.0674244578674702,1690267757.717938,1690270945.671577
230725-080455-5416-open-loss,0.3,2.5,0.2,0.1264180189532398,0.1343943008223043,1690268695.542575,1690270741.612509
230725-072322-8751-high-word,0.2,15.0,0.2,0.0097438239297195,0.0633476889487778,1690266202.875662,1690270646.978427
230725-065706-1174-lone-meat,0.15,15.0,0.2,0.0138258791590877,0.0700387870860897,1690264626.117976,1690270673.338433
230725-080532-0606-trim-wood,0.3,5.0,0.2,0.0278205263504387,0.057467901852126,1690268732.061058,1690270563.897831
