id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230724-235814-4909-keen-coat,0.05,6.0,0.2,0.1541362038535832,0.1621260142672279,1690239494.49172,1690241547.428623
230724-235744-2770-ugly-play,0.05,5.75,0.2,0.1581861864115764,0.1634941071029579,1690239464.277703,1690241184.011607
230724-235714-4023-busy-army,0.05,5.5,0.2,0.1598208276101007,0.1659857027680753,1690239434.402841,1690241126.711419
230724-235715-4948-safe-hall,0.05,5.25,0.2,0.162101935054332,0.1682919771541836,1690239435.495331,1690241113.572972
230724-235714-4091-rash-make,0.05,5.0,0.2,0.1640879473675917,0.1676569208571992,1690239434.410177,1690241100.43296
230724-235649-3441-vain-safe,0.05,3.5,0.2,0.1733789646807123,0.1753575714149318,1690239409.344637,1690240998.323663
230724-235641-9401-sore-term,0.05,4.0,0.2,0.1658148225059768,0.167716995818538,1690239401.940591,1690240988.130164
230724-235642-3197-warm-look,0.05,4.5,0.2,0.164211847160415,0.1677189608803441,1690239402.320136,1690240973.837237
230724-235623-9017-free-mood,0.05,3.0,0.2,0.1783020433409325,0.1799022907370234,1690239383.90232,1690240944.821321
230724-235630-0237-sane-form,0.05,2.5,0.2,0.1783293375966511,0.1799251042249051,1690239390.02419,1690240905.162775
230725-003753-5308-used-seat,0.15,9.25,0.2,0.0508831050125321,0.0812269671410299,1690241873.553632,1690243886.632171
230725-003800-7412-cold-self,0.15,9.0,0.2,0.0572104338506468,0.0867988408695616,1690241880.741836,1690243873.065196
230725-000921-7630-slim-draw,0.05,15.0,0.2,0.1638847055233946,0.1738252246099432,1690240161.764804,1690242253.223062
230725-000346-7663-wild-join,0.05,9.0,0.2,0.1591506471780052,0.1683640746469582,1690239826.766946,1690242243.939148
230725-000159-5494-tiny-part,0.05,8.25,0.2,0.1428206935686183,0.1543058148728066,1690239719.549964,1690242231.23798
230725-000158-5091-sour-base,0.05,8.75,0.2,0.1554921761882046,0.1646297236760856,1690239718.50974,1690242098.889833
230725-000157-2508-kind-boot,0.05,8.0,0.2,0.1523279846916013,0.165065195779234,1690239717.251473,1690242073.695856
230725-001241-1739-idle-beer,0.1,7.75,0.2,0.088220304294338,0.1095367082632704,1690240361.174418,1690242001.633076
230725-000028-1191-open-pull,0.05,6.25,0.2,0.1520687494513599,0.1593452177000683,1690239628.119827,1690241942.073068
230725-004703-8902-oily-room,0.2,4.0,0.2,0.1287542311926413,0.1371236101983039,1690242423.891162,1690243881.054909
230725-000624-5855-weak-bend,0.05,6.75,0.2,0.1577174937121138,0.1658687564707019,1690239984.586674,1690242927.457323
230725-000643-1375-male-bell,0.05,7.75,0.2,0.1576053587413974,0.1662492220750064,1690240003.138208,1690242969.138626
230725-000642-9253-lame-base,0.05,7.0,0.2,0.1437074550758419,0.1540530079577244,1690240002.926081,1690242931.236856
230725-000645-8350-high-week,0.05,6.5,0.2,0.1562371504621294,0.1652055550514973,1690240005.8361,1690242868.159165
230725-003818-2213-easy-code,0.15,15.0,0.2,0.0638981535596413,0.1143298503920227,1690241898.222073,1690243625.817789
230725-003804-4174-flat-east,0.15,14.0,0.2,0.0730235492174373,0.1195261104353782,1690241884.418154,1690243616.025441
230725-001317-3988-lame-post,0.1,5.75,0.2,0.1096191513662554,0.1232941713992903,1690240397.400188,1690242288.294275
230725-003926-5576-oval-fire,0.2,3.5,0.2,0.136873141557825,0.1431131137197672,1690241966.558211,1690243526.282338
230725-001425-3557-some-film,0.05,14.0,0.2,0.1579871896731364,0.1676668060481936,1690240465.357101,1690242802.21833
230725-001425-3556-mean-draw,0.05,12.0,0.2,0.1578607161075864,0.1666537999289825,1690240465.35705,1690243066.873938
230725-001425-3557-true-wake,0.05,13.0,0.2,0.1543402202658195,0.1660625428698441,1690240465.357123,1690242869.066393
230725-003616-9556-fast-fuel,0.15,13.0,0.2,0.0684773829285097,0.1110641347754584,1690241776.956151,1690243443.045053
230725-003156-6482-deep-beer,0.15,6.75,0.2,0.063443577263611,0.0883353916727413,1690241516.648868,1690243365.155841
230725-003605-6075-icky-town,0.15,12.0,0.2,0.0517418837455071,0.083945750792851,1690241765.608314,1690243423.976666
230725-003824-5343-wary-town,0.2,2.5,0.2,0.1783293375966511,0.1799251042249051,1690241904.534988,1690243413.59331
230725-003514-7945-tiny-gold,0.15,10.0,0.2,0.0677799947937864,0.1030700181952315,1690241714.795131,1690243357.758623
