id,config.atom_sigma,config.soap_cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230724-114648-1019-able-miss,0.8,13.5,0.0003476909858106,0.000144154907753,0.3777652288296471,1690195608.102871,1690195651.948528,random
230724-115349-8397-fine-gift,0.8,13.5,0.0216252800517693,0.0167208403766493,0.1854061454046364,1690196029.841588,1690196076.636874,random
230724-115436-7168-rash-joke,0.8,13.5,0.0238373195691476,0.0178890534674366,0.1818134058096548,1690196076.718334,1690196117.525863,random
230724-115517-6622-poor-copy,0.8,13.5,0.0014281381971975,0.0014572492210104,0.3311671538808177,1690196117.667401,1690196166.106701,random
230724-115606-1301-taut-talk,0.8,13.5,0.753399599451609,0.0912453008253098,0.1379071684528018,1690196166.13161,1690196208.353348,random
230724-115648-4667-cold-news,0.8,13.5,0.002306440123086,0.0026259850703558,0.3020874808778593,1690196208.468418,1690196247.857663,random
230724-115727-9330-firm-body,0.8,13.5,0.0001491214980569,3.0903025856901444e-05,0.3826867677507876,1690196247.934795,1690196287.485144,random
230724-115807-5241-taut-sock,0.8,13.5,0.0005175366091033,0.0002965877292231,0.3713884847968488,1690196287.525683,1690196329.585958,random
230724-115849-6935-huge-dare,0.8,13.5,0.0075930448414156,0.0079201756907056,0.230996665089454,1690196329.694556,1690196368.758122,random
230724-115928-7846-near-show,0.8,13.5,0.0001801420663582,4.31029668742352e-05,0.382148958206238,1690196368.786415,1690196408.862999,random
230724-120008-9486-hard-bone,0.8,13.5,0.0040461269916065,0.0046748085653035,0.2668019158714524,1690196408.977783,1690196450.559746,random
230724-120050-6210-spry-fact,0.8,13.5,0.001327554839134,0.0013204408431905,0.3352262025826877,1690196450.622827,1690196489.728108,random
230724-120129-7842-wild-desk,0.8,13.5,0.0001541855318327,3.274512875070327e-05,0.3826054428971747,1690196489.786021,1690196528.113087,random
230724-120208-1533-smug-side,0.8,13.5,0.1021765609266652,0.042777634902697,0.1430342022491695,1690196528.155652,1690196567.121479,random
230724-120247-2437-twin-kill,0.8,13.5,0.015137765952675,0.0130478931915876,0.1992282473729739,1690196567.246168,1690196611.952706,random
230724-120331-9878-dear-stay,0.8,13.5,0.7442574357883052,0.0909190153016379,0.1378123054554097,1690196611.989915,1690196656.282529,random
230724-120416-3165-huge-rent,0.8,13.5,0.2118949227440121,0.058853460053734,0.1362020807043118,1690196656.318154,1690196697.807042,random
230724-120457-8392-long-neat,0.8,13.5,0.0003570035643521,0.0001513489492692,0.377457940472751,1690196697.846316,1690196739.082711,random
230724-120539-1319-ugly-list,0.8,13.5,0.1909042651770937,0.0564104630490073,0.1367918954387088,1690196739.13434,1690196784.193553,random
230724-120624-2339-fair-golf,0.8,13.5,0.2255155149671585,0.0603339470351436,0.135904138351726,1690196784.23589,1690196828.859202,random
230724-120708-9124-cute-kiss,0.8,13.5,0.0010578917551852,0.000956122872181,0.3468602449836341,1690196828.914107,1690196871.406759,random
230724-120751-4535-twin-sick,0.8,13.5,0.0141289537097559,0.0124338008856058,0.2020577286265287,1690196871.462419,1690196912.757109,random
230724-120832-8500-puny-zone,0.8,13.5,0.0018224481282174,0.001990079246614,0.316776560147101,1690196912.851856,1690196954.300909,random
230724-120914-3330-nice-trip,0.8,13.5,0.0002081248753634,5.5953402124694645e-05,0.3815844797943578,1690196954.334557,1690196997.171204,random
230724-120957-2717-taut-star,0.8,13.5,0.0855545531984105,0.0392099362909212,0.1458218688538211,1690196997.273829,1690197041.891705,random
230724-121041-9189-back-lady,0.8,13.5,0.0570304503584646,0.0315128612447962,0.1542697211328944,1690197041.920743,1690197084.075777,random
230724-121124-1522-poor-bell,0.8,13.5,0.4462653224443598,0.0774168108719989,0.1352064202555033,1690197084.159746,1690197126.862186,random
230724-121206-9552-limp-dead,0.8,13.5,0.0005157473892933,0.0002947735819053,0.3714627331969315,1690197126.956225,1690197171.831686,random
230724-121251-8716-even-desk,0.8,13.5,0.0076033682818878,0.007928419654489,0.2309259338907591,1690197171.874465,1690197216.15654,random
230724-121336-1783-high-rock,0.8,13.5,0.1986738136918516,0.0573392439057345,0.1365527267452762,1690197216.179792,1690197258.262392,random
230724-121418-2855-warm-fear,0.8,13.5,0.637348345047047,0.0867852090564226,0.1367359596618074,1690197258.286991,1690197300.065678,random
230724-121500-1188-late-fire,0.8,13.5,0.0204105099368671,0.0160629368207361,0.1875715155118139,1690197300.121449,1690197342.842487,random
230724-121542-8660-dear-line,0.8,13.5,0.0026547904040808,0.0030669861820825,0.2931671689958796,1690197342.867699,1690197384.204884,random
230724-121624-2419-tidy-pass,0.8,13.5,0.0148004335330829,0.0128441877091705,0.2001460164198748,1690197384.244249,1690197429.282464,random
230724-121709-3035-that-west,0.8,13.5,0.0001914688001922,4.8096704701137215e-05,0.3819293562084679,1690197429.305125,1690197473.245819,random
230724-121753-2940-thin-wave,0.8,13.5,0.0223512822137122,0.0171084009176871,0.1841803495929394,1690197473.300669,1690197516.718299,random
230724-121836-7533-wiry-zone,0.8,13.5,0.0005315219661143,0.0003108994412672,0.3708041141206021,1690197516.755436,1690197560.051627,random
230724-121920-0859-wild-wife,0.8,13.5,0.000139031503433,2.740875915086321e-05,0.3828411473475819,1690197560.087618,1690197602.721337,random
230724-122002-7563-lean-drop,0.8,13.5,0.2978764515375104,0.0671267140220436,0.1350543052754265,1690197602.757732,1690197646.416756,random
230724-122046-4746-soft-exit,0.8,13.5,0.0100359807168191,0.0097486671550853,0.2171630522410057,1690197646.477629,1690197722.502426,random
230724-122202-5462-twin-stop,0.8,13.5,0.0112206357865467,0.0105647642586552,0.2120208893662775,1690197722.549369,1690197768.447873,random
230724-122248-4700-slim-bowl,0.8,13.5,0.0073261007214479,0.0077051771475785,0.2328712519570877,1690197768.470626,1690197813.78362,random
230724-122333-8092-drab-lady,0.8,13.5,0.3931945802941926,0.0741491657618851,0.1349807081665394,1690197813.810704,1690197857.288821,random
230724-122417-3143-rich-lead,0.8,13.5,0.0017227510963124,0.0018562803707982,0.3201924730133743,1690197857.315915,1690197904.982899,random
230724-122505-0100-oval-roof,0.8,13.5,0.0026644374209711,0.0030789830698219,0.2929368870434038,1690197905.011834,1690197950.054156,random
230724-122550-1366-pink-hate,0.8,13.5,0.0140415870623294,0.0123799010446342,0.2023153260084147,1690197950.138364,1690197994.571171,random
230724-122634-6082-weak-duty,0.8,13.5,0.0011704842228691,0.0011074108302801,0.3418773789158586,1690197994.610492,1690198038.964821,random
230724-122719-0179-live-stop,0.8,13.5,0.0074935423388702,0.0078404500002464,0.2316850355720642,1690198039.019372,1690198084.392813,random
230724-122804-4295-numb-hire,0.8,13.5,0.4435006378608888,0.0772555910849268,0.135191499080528,1690198084.432038,1690198125.852804,random
230724-122845-9677-torn-pick,0.8,13.5,0.0837593932664156,0.0387920366093896,0.1461899407931298,1690198125.968532,1690198168.223918,random
230724-122928-2860-sick-rest,0.8,13.5,0.0173018976307673,0.014320477653153,0.1939086450381351,1690198168.287668,1690198209.678053,random
230724-123009-7238-dear-cash,0.8,13.5,0.6522875832476144,0.0874012502655043,0.1368812950701174,1690198209.725431,1690198250.830169,random
230724-123050-8654-male-rule,0.8,13.5,0.0058696348249978,0.0064611277499963,0.2449500476197247,1690198250.874895,1690198296.000684,random
230724-123136-1168-deep-tool,0.8,13.5,0.0020410220634716,0.002280303833579,0.3097742854169939,1690198296.119749,1690198338.6365,random
230724-123218-6845-fast-safe,0.8,13.5,0.1748968586733302,0.0543957337965954,0.1373775491835434,1690198338.687137,1690198380.684664,random
230724-123300-7915-meek-disk,0.8,13.5,0.0007089289311121,0.0005095838330609,0.362939249994186,1690198380.795267,1690198424.436793,random
230724-123344-4786-fond-neat,0.8,13.5,0.12762037737794,0.0474291417824242,0.1402281187677741,1690198424.551098,1690198473.046531,random
230724-123433-0834-male-kick,0.8,13.5,0.0001039531414408,1.710909367665325e-05,0.383297080739751,1690198473.085228,1690198518.976593,random
230724-123518-9998-damp-fall,0.8,13.5,0.0001045093990584,1.7249767649137172e-05,0.383290843793025,1690198519.002091,1690198563.940862,random
230724-123604-0034-open-boat,0.8,13.5,0.0004736987966347,0.0002532931741989,0.3731711457920663,1690198564.005027,1690198611.086472,random
230724-123651-1115-tall-till,0.8,13.5,0.0050498655223182,0.0056958294410988,0.2535705256709121,1690198611.112405,1690198658.263224,random
230724-123738-2955-next-swim,0.8,13.5,0.0003033723352647,0.000112044880468,0.3791445301545902,1690198658.297176,1690198698.777686,random
230724-123818-8361-ugly-gain,0.8,13.5,0.0121759268021293,0.0111973736836983,0.2083920335041092,1690198698.83825,1690198740.192879,random
230724-123900-2396-smug-cash,0.8,13.5,0.0038903568406502,0.0045066695366449,0.2692031124139223,1690198740.241709,1690198781.947145,random
230724-123941-9842-posh-edge,0.8,13.5,0.0032777527664547,0.0038170835059898,0.2798424528389349,1690198781.985947,1690198824.330407,random
230724-124024-3590-real-kiss,0.8,13.5,0.0001044794354465,1.724216826799009e-05,0.3832911810775025,1690198824.361436,1690198869.744729,random
230724-124109-8346-vast-meal,0.8,13.5,0.0722251933591667,0.035919592998345,0.1489823536523229,1690198869.837504,1690198912.481224,random
230724-124152-6139-neat-wish,0.8,13.5,0.0004648167325415,0.000244826722563,0.3735223775172537,1690198912.618188,1690198954.150348,random
230724-124234-1721-free-meet,0.8,13.5,0.0004340624953134,0.0002163608301161,0.3747096210028932,1690198954.173896,1690198994.304292,random
230724-124314-4638-lean-gear,0.8,13.5,0.2941273778096356,0.0668117076448609,0.1350761013286707,1690198994.464369,1690199034.898776,random
230724-124355-5749-long-ruin,0.8,13.5,0.9999029497202973,0.0988029303946588,0.1404736209162468,1690199035.576567,1690199075.127436,bayesian-optimization
230724-124436-3842-slow-food,0.8,13.5,0.014279668265078,0.0125265029718672,0.2016183008811716,1690199076.385929,1690199115.569977,bayesian-optimization
230724-124516-8872-vast-loss,0.8,13.5,0.0130871543810681,0.0117828665915875,0.2052772545913433,1690199116.88795,1690199159.066725,bayesian-optimization
230724-124600-2508-lone-load,0.8,13.5,0.000170777016663,3.919033464769814e-05,0.3823212371195203,1690199160.25152,1690199201.750543,bayesian-optimization
230724-124643-1771-rosy-hold,0.8,13.5,0.0002869598297692,0.0001010824659923,0.3796183323082992,1690199203.178855,1690199247.369686,bayesian-optimization
230724-124728-7820-cute-coat,0.8,13.5,0.3501917778862874,0.0711936332273609,0.1349171501973952,1690199248.823574,1690199290.770101,bayesian-optimization
230724-124812-1924-long-deep,0.8,13.5,0.0001959198337582,5.013679061651543e-05,0.381839730212255,1690199292.194455,1690199334.154773,bayesian-optimization
230724-124855-6005-cute-fear,0.8,13.5,0.0002901840454807,0.0001031951172813,0.3795269063315702,1690199335.603015,1690199376.365704,bayesian-optimization
230724-124937-8307-cute-zone,0.8,13.5,0.3500837502522341,0.0711858069958971,0.1349171617838071,1690199377.832404,1690199417.788673,bayesian-optimization
230724-125019-2483-torn-exit,0.8,13.5,0.0276740426459527,0.0198292448699978,0.1764449338874635,1690199419.250325,1690199461.488734,bayesian-optimization
230724-125102-9355-thin-hand,0.8,13.5,0.3504335480842221,0.0712111408374458,0.1349171277479886,1690199462.937563,1690199505.78805,bayesian-optimization
230724-125147-3364-sane-push,0.8,13.5,0.6730551173992311,0.0882356040594023,0.1370866600657887,1690199507.338242,1690199548.301276,bayesian-optimization
230724-125229-8047-arid-role,0.8,13.5,0.0111628819574736,0.0105258352098438,0.2122538861108582,1690199549.806437,1690199592.01228,bayesian-optimization
230724-125313-5602-oily-tale,0.8,13.5,0.0125922695263205,0.011466905293112,0.2069307213666056,1690199593.560968,1690199635.88357,bayesian-optimization
230724-125357-4522-wild-meet,0.8,13.5,0.2308424011225243,0.0608927679224513,0.1358027678628166,1690199637.45401,1690199679.353633,bayesian-optimization
230724-125441-0587-good-high,0.8,13.5,0.0003522397033132,0.0001476499960536,0.3776158595697804,1690199681.060755,1690199723.517848,bayesian-optimization
230724-125525-1055-late-wrap,0.8,13.5,0.0455113836297907,0.0275271289917051,0.1602985526535045,1690199725.107247,1690199767.815413,bayesian-optimization
230724-125609-3710-hard-town,0.8,13.5,0.1355214536091082,0.0487226907290031,0.1395889349244937,1690199769.372738,1690199811.176049,bayesian-optimization
230724-125652-8277-left-bill,0.8,13.5,0.1632379504393979,0.0528325167046273,0.1378992946556013,1690199812.82944,1690199854.243529,bayesian-optimization
230724-125736-0739-wise-bike,0.8,13.5,0.0023956434237399,0.0027403344867341,0.2996852434499694,1690199856.079208,1690199897.879909,bayesian-optimization
230724-125819-4129-loud-pair,0.8,13.5,0.0001161633086878,2.0365864840605264e-05,0.3831527704035513,1690199899.414672,1690199941.427177,bayesian-optimization
230724-125903-3748-pink-hate,0.8,13.5,0.1259788334946123,0.0471524568157119,0.1403722029212291,1690199943.376474,1690199988.476858,bayesian-optimization
230724-125950-3529-keen-walk,0.8,13.5,0.3513773455305544,0.0712793821055153,0.1349170860092294,1690199990.354522,1690200030.554811,bayesian-optimization
230724-130032-4033-past-joke,0.8,13.5,0.3516010798840875,0.0712955351981816,0.1349170867875865,1690200032.404914,1690200073.402292,bayesian-optimization
230724-130115-2369-this-push,0.8,13.5,0.0657030954396389,0.0341278286313472,0.1509750937657256,1690200075.238571,1690200116.714582,bayesian-optimization
230724-130158-5531-grim-sail,0.8,13.5,0.0284032006975542,0.020185997916256,0.1755280932746258,1690200118.554733,1690200157.924874,bayesian-optimization
230724-130239-9618-true-grab,0.8,13.5,0.3512178193069661,0.0712678590740795,0.1349170879468929,1690200159.963534,1690200199.166093,bayesian-optimization
230724-130321-2035-wiry-duty,0.8,13.5,0.000162161935088,3.576559724262614e-05,0.3824721892872108,1690200201.205189,1690200240.552645,bayesian-optimization
230724-130402-4571-mild-foot,0.8,13.5,0.00038605583237,0.0001747395198626,0.3764631995151243,1690200242.458759,1690200282.280196,bayesian-optimization
230724-130444-3939-tart-hole,0.8,13.5,0.0202573404337359,0.0159791186839402,0.1878555006478447,1690200284.395484,1690200325.897229,bayesian-optimization
230724-130528-0984-trim-crew,0.8,13.5,0.0029389821290191145,0.003415394073271118,0.28671877427136,1690200328.100196,1690200370.063474,bayesian-optimization
