id,config.atom_sigma,config.soap_cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230724-152740-1791-puny-bend,0.5,6.75,0.6718086497802926,0.0399347935443155,0.0759766301608429,1690208860.179674,1690209168.395374,random
230724-153248-4194-male-fuel,0.5,6.75,0.0062971591287704,0.0003118966228441,0.0640190209369169,1690209168.421267,1690209467.321726,random
230724-153747-3799-bare-make,0.5,6.75,0.0001518631205856,2.716626542747024e-07,0.0640853400612506,1690209467.380789,1690209768.70987,random
230724-154248-7793-huge-stop,0.5,6.75,0.2148445766685801,0.0177936944238926,0.0672455862164542,1690209768.780668,1690210080.711832,random
230724-154800-7796-evil-fact,0.5,6.75,0.1911827402780022,0.0162940699672446,0.066880278253403,1690210080.780409,1690210369.438541,random
230724-155249-4621-this-calm,0.5,6.75,0.0243578999875067,0.0021484825727449,0.0643356923858361,1690210369.463425,1690210659.004756,random
230724-155739-0666-vast-life,0.5,6.75,0.0009706064764166,9.675299006189806e-06,0.0640832007389597,1690210659.068248,1690212476.160731,random
230724-162756-2525-lean-fear,0.5,6.75,0.2221083346015256,0.0182405413859665,0.0673610575685356,1690212476.276783,1690212772.546185,random
230724-163252-6217-wiry-area,0.5,6.75,0.0002790768883099,8.382043878326366e-07,0.0640852130393404,1690212772.628805,1690213058.334441,random
230724-163738-3563-neat-keep,0.5,6.75,0.0020045746973633,3.9851471274790766e-05,0.0640760080549636,1690213058.358765,1690213364.056579,random
230724-165114-7076-sane-deal,0.5,6.75,0.0006471897540255,4.345717810525445e-06,0.0640844210960499,1690213874.709108,1690214168.051574,random
230724-165608-3158-thin-book,0.5,6.75,0.0015816930067419,2.5208785289292225e-05,0.0640795473542627,1690214168.318647,1690214467.145542,random
230724-170107-3210-male-lock,0.5,6.75,0.0001375610839615,2.2885527892312099e-07,0.0640853496494923,1690214467.341577,1690214762.136216,random
230724-170602-1745-cold-pair,0.5,6.75,0.4358456403993623,0.0296223020269048,0.0712139353814547,1690214762.17588,1690215054.588819,random
230724-171054-6853-lean-kick,0.5,6.75,0.0013500331245479,1.8507264136948653e-05,0.0640811390821902,1690215054.689043,1690215342.43185,random
230724-171542-4629-fine-pick,0.5,6.75,0.034156418868873,0.0032251195245132,0.0646222856194589,1690215342.46506,1690215626.026223,random
230724-172026-0881-sore-wine,0.5,6.75,0.0345954049907492,0.0032730259183069,0.0646339376613633,1690215626.094127,1690215906.594205,random
230724-204553-1331-ripe-fuel,0.5,6.75,0.0031902537268154,9.55113191355747e-05,0.0640623017968086,1690227953.134277,1690228233.542035,random
230724-205033-5803-best-knee,0.5,6.75,0.000123914674729,1.919516255127781e-07,0.0640853579129197,1690228233.581875,1690228518.639407,random
230724-205518-6685-some-soup,0.5,6.75,0.0001296019150064,2.0686383598226745e-07,0.0640853545732746,1690228518.670445,1690228826.920442,random
230724-210027-1215-tame-rest,0.5,6.75,0.0011938661870292,1.4543100510440036e-05,0.0640820700087944,1690228827.123791,1690229128.845378,random
230724-210528-8848-this-nose,0.5,6.75,0.0746467984554174,0.0073427277251075,0.0653429434440484,1690229128.887038,1690229413.136195,random
230724-211013-3309-flat-sign,0.5,6.75,0.0057596355315318,0.000269239823755,0.0640256172306701,1690229413.33294,1690229710.846463,random
230724-211510-8985-vain-lake,0.5,6.75,0.0002412588207633,6.349287640020356e-07,0.0640852586448339,1690229710.900742,1690229998.270272,random
230725-104026-8898-thin-sand,0.5,6.75,0.0017827134009114,3.179177823437953e-05,0.0640779651424187,1690278026.890697,1690278313.416538,random
230725-104513-6008-gray-beat,0.5,6.75,0.2253496273640419,0.0184380650378743,0.0674130555602177,1690278313.627448,1690278596.60249,random
230725-104956-6505-taut-food,0.5,6.75,0.000181296871547,3.730555830221533e-07,0.0640853173473417,1690278596.652569,1690278889.534332,random
230725-105449-6907-even-year,0.5,6.75,0.0636384008264472,0.0062883646503157,0.0651937318545239,1690278889.691804,1690279184.368222,random
230725-105944-4125-posh-nose,0.5,6.75,0.0511838212210064,0.0050361343256525,0.0649951584391863,1690279184.414325,1690279481.826662,random
230725-110441-8899-worn-mark,0.5,6.75,0.0064933600465012,0.0003278725726215,0.0640168266121892,1690279481.898001,1690279768.674635,random
230725-110928-7369-vain-ball,0.5,6.75,0.0002454608441492,6.560604187014258e-07,0.0640852539063083,1690279768.738713,1690280065.882188,random
230725-111425-9048-bare-meat,0.5,6.75,0.0016151788774538,2.625666095804279e-05,0.0640792966384685,1690280065.906904,1690280362.550572,random
230725-111922-6611-safe-pain,0.5,6.75,0.0001007266261531,1.3807255034306584e-07,0.0640853699760043,1690280362.669754,1690280669.448388,random
230725-112429-4929-wavy-bike,0.5,6.75,0.0041422961423496,0.0001529151447513,0.0640487107107901,1690280669.494432,1690280963.687381,random
230725-112923-7536-taut-club,0.5,6.75,0.2895396831873967,0.0221488665243919,0.0684946293035359,1690280963.755094,1690281244.928758,random
230725-113404-9573-glum-hire,0.5,6.75,0.0118601550376101,0.0008210762026171,0.064017703476528,1690281244.959766,1690281537.526151,random
230725-113857-5874-sick-dear,0.5,6.75,0.0054059707811858,0.0002421450004429,0.0640303536549556,1690281537.589166,1690281834.115124,random
230725-114354-3102-idle-rest,0.5,6.75,0.3872027824652019,0.0272550669848182,0.0702804995494073,1690281834.312039,1690282121.56671,random
230725-114841-6663-bare-club,0.5,6.75,0.0100192713630269,0.0006423659283118,0.0640034171627377,1690282121.667938,1690282410.352088,random
230725-115330-3876-numb-band,0.5,6.75,0.037299682451123195,0.003566983745150322,0.06470312549195685,1690282410.39019,1690282741.347497,random
