id,config.atom_sigma,config.soap_cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230724-132300-8423-firm-food,0.2,9.0,0.0833489781880715,0.0259411264624699,0.0900913546355102,1690201380.842977,1690201448.654532,random
230724-132408-6767-this-long,0.2,9.0,0.0006530975402454,0.0001636881054625,0.1254095306518854,1690201448.677418,1690201523.196276,random
230724-132523-2253-wise-rope,0.2,9.0,0.0985305959041263,0.0280927047778431,0.0896112990471394,1690201523.226668,1690201591.164693,random
230724-132631-2000-mild-meet,0.2,9.0,0.3095186451346962,0.0472111410290672,0.0883934723011909,1690201591.202361,1690201661.110564,random
230724-132741-1876-back-help,0.2,9.0,0.0001142346523395,7.486034003511825e-06,0.1256812590906723,1690201661.192548,1690201735.7998,random
230724-132855-8658-nice-neat,0.2,9.0,0.0037546743625177,0.0022571063666058,0.1197531459813546,1690201735.867717,1690201806.865193,random
230724-133006-8860-safe-sale,0.2,9.0,0.1754659103313463,0.0367107731449901,0.0884837719536611,1690201806.889229,1690201877.900001,random
230724-133117-9888-dual-cake,0.2,9.0,0.0374726026771917,0.0172345499094515,0.0941241663256919,1690201878.014514,1690201958.379853,random
230724-133238-4127-cute-lift,0.2,9.0,0.0013979127466649,0.0005633288534329,0.1242772658782199,1690201958.414426,1690202033.466736,random
230724-133353-5291-fast-half,0.2,9.0,0.1480034525548198,0.0339609462312001,0.0887468339787542,1690202033.530963,1690202140.186486,random
230724-133540-2312-taut-sale,0.2,9.0,0.1429751488604236,0.0334244860798342,0.0888072982021333,1690202140.232093,1690202272.250486,random
230724-133752-6920-deep-duty,0.2,9.0,0.0370327457236402,0.017121353069456,0.0942093428241312,1690202272.694029,1690202339.691592,random
230724-133859-7492-icky-miss,0.2,9.0,0.0001663795927718,1.4081994905645784e-05,0.1256776744115874,1690202339.751638,1690202407.558584,random
230724-134007-6397-busy-hurt,0.2,9.0,0.0044646852096446,0.0028033252161798,0.1183218604711267,1690202407.642008,1690202478.411578,random
230724-134118-4614-puny-lady,0.2,9.0,0.0003858545403236,6.461251419344059e-05,0.1256204086340471,1690202478.462979,1690202545.593199,random
230724-134225-6224-soft-east,0.2,9.0,0.0003365963065457,5.042181486529713e-05,0.1256412189108777,1690202545.624932,1690202613.895272,random
230724-134334-0268-safe-math,0.2,9.0,0.0128312697307404,0.0083241130602017,0.1053647628405911,1690202614.030249,1690202679.400805,random
