soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.75,0.9,0.2,7,0.0038225390347522946,0.18193306704374165
9.75,0.9,0.2,15,0.01634918843848559,0.20140889916031202
9.75,0.9,0.2,31,0.027228825112770406,0.1982809048780481
9.75,0.9,0.2,62,0.03620601482289533,0.17347465619033303
9.75,0.9,0.2,125,0.042750821146447675,0.173631480144027
9.75,0.9,0.2,250,0.08351808157652958,0.16906489871217872
9.75,0.9,0.2,500,0.07879590039155075,0.14475245079751675
9.75,0.9,0.2,1000,0.07715654798434365,0.1372237617007938
9.75,0.9,0.2,2000,0.07655085549121542,0.13124250135411264
9.75,0.9,0.2,4000,0.07690541712198962,0.1250242242479776
9.75,0.9,0.2,8000,0.07766020422165973,0.12447591615182658
9.75,0.9,0.2,16000,0.07750566118815841,0.12975456626370946
9.75,0.9,0.2,32000,0.07637671226502088,0.12833750133087732
