soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
6.75,0.5,0.2,7,0.002777644599082089,0.17527949798244144
6.75,0.5,0.2,15,0.004351136159730029,0.16341444248677173
6.75,0.5,0.2,31,0.006105099046983025,0.15126291323304844
6.75,0.5,0.2,62,0.006870216388300437,0.13800539793579147
6.75,0.5,0.2,125,0.0078359741497166,0.10982643384847676
6.75,0.5,0.2,250,0.008584671262033203,0.08718220247485231
6.75,0.5,0.2,500,0.010030041906344846,0.07955226783717519
6.75,0.5,0.2,1000,0.011145213733158143,0.06458619556081005
6.75,0.5,0.2,2000,0.01229144115828964,0.05822920558618281
6.75,0.5,0.2,4000,0.012468823742919249,0.05341801762071065
6.75,0.5,0.2,8000,0.012264317875410555,0.05123256852452065
6.75,0.5,0.2,16000,0.011956167375429856,0.048608248944245744
6.75,0.5,0.2,32000,0.011342860752638604,0.04745526177875923
