soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
7.0,0.25,0.20,7,0.018417961856249474,0.17378259525723042
7.0,0.25,0.20,15,0.02321845243391437,0.14996062407305863
7.0,0.25,0.20,31,0.025174784660567506,0.13543198379991092
7.0,0.25,0.20,62,0.0286173205453799,0.12448875117401301
7.0,0.25,0.20,125,0.03568103108272545,0.10640880314595336
7.0,0.25,0.20,250,0.039944176612407505,0.0915162292265713
7.0,0.25,0.20,500,0.04179231402939639,0.08647311190914578
7.0,0.25,0.20,1000,0.04114926647109794,0.07955400601572976
7.0,0.25,0.20,2000,0.04219157104731418,0.07316916681129237
7.0,0.25,0.20,4000,0.0426516565194827,0.07057970845435603
7.0,0.25,0.20,8000,0.04162974989322298,0.0673748033440657
7.0,0.25,0.20,16000,0.040943779150639105,0.06815325906290945
7.0,0.25,0.20,32000,0.04001864809376331,0.07050572661894594
