id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230710-114425-7512-true-room,0.1,3.5,0.2,0.2061895341314505,0.2058947065781642,1688985865.752486,1688987692.345284
230710-114128-9927-flat-rate,0.05,15.0,0.2,0.1994904498211351,0.2117513020912609,1688985688.994047,1688987654.33368
230710-114427-9616-cute-idea,0.05,2.5,0.2,0.2061895341314505,0.2058947065781642,1688985867.962965,1688987635.846441
230710-114450-0341-puny-deal,0.1,4.0,0.2,0.2061895341314505,0.2058947065781641,1688985890.035395,1688987572.144638
230710-114433-4570-safe-item,0.1,2.5,0.2,0.2061895341314505,0.2058947065781642,1688985873.457523,1688987526.040242
230710-114045-0215-bare-cell,0.05,5.75,0.2,0.2042070394906192,0.2058438213746629,1688985645.022326,1688987320.670293
230710-114045-0214-open-form,0.05,5.5,0.2,0.2056237321033718,0.2059128966917081,1688985645.021928,1688987278.063098
230710-121659-7163-idle-user,0.1,6.5,0.2,0.1832514039064,0.1952785056006933,1688987819.716962,1688989494.593089
230710-121626-9307-sick-kind,0.1,6.25,0.2,0.194411297205576,0.1971472462795889,1688987786.950297,1688989448.436145
230710-114933-8382-lost-harm,0.1,5.5,0.2,0.2037612253409073,0.2056164932306881,1688986173.839675,1688988025.964948
230710-114433-1431-rich-tool,0.05,13.0,0.2,0.1974817555156697,0.2075659103714412,1688985873.144011,1688988769.60336
230710-114430-9147-that-meal,0.05,14.0,0.2,0.1926405419330729,0.1972908981426824,1688985870.915974,1688988455.409426
230710-115208-1366-back-fold,0.1,5.75,0.2,0.2027121102146081,0.2043952162697567,1688986328.137105,1688988207.741577
230710-115454-5321-tiny-ring,0.05,3.5,0.2,0.2061895341314505,0.2058947065781642,1688986494.534024,1688988133.799438
230710-114450-0973-that-town,0.05,9.5,0.2,0.1932641457859579,0.199694746262376,1688985890.097859,1688988649.745634
230710-114401-5841-puny-wave,0.05,9.0,0.2,0.2000919928858517,0.2058977875167827,1688985841.585534,1688988366.977691
230710-114230-3757-male-rope,0.05,6.5,0.2,0.2005437386614725,0.2017253960055175,1688985750.376479,1688988024.850693
230710-114351-8195-fair-wear,0.05,7.25,0.2,0.1965542399020203,0.2019604002824688,1688985831.820822,1688987988.036578
230710-114352-9072-twin-ride,0.05,7.5,0.2,0.1940501167167121,0.1972032489212133,1688985832.907672,1688987972.814097
230710-114631-4799-tiny-gain,0.1,5.0,0.2,0.2032056964942247,0.2030140202056027,1688985991.481019,1688988110.510773
230710-114632-5831-best-hate,0.1,4.5,0.2,0.204549016940968,0.2044547143516102,1688985992.58438,1688988115.525489
230710-114228-6259-next-wrap,0.05,6.25,0.2,0.2016078422419643,0.2060966622487799,1688985748.626755,1688988003.877707
230710-114222-2924-only-knee,0.05,10.0,0.2,0.2006218321665457,0.2048495407205064,1688985742.293839,1688987927.649646
230710-114222-4634-kind-wind,0.05,11.0,0.2,0.1918147228466189,0.1959843952582678,1688985742.464052,1688987949.97523
230710-114130-5112-true-fall,0.05,7.75,0.2,0.1908093880270822,0.1959921884641609,1688985690.513102,1688987892.862362
230710-114439-5109-wary-vast,0.05,6.0,0.2,0.2045473340821237,0.2052399551643149,1688985879.512149,1688987819.981171
230710-114130-5112-grim-unit,0.05,8.0,0.2,0.193491360291183,0.2025040934326472,1688985690.512885,1688987853.62621
230710-114836-5937-kind-sort,0.1,5.25,0.2,0.2027628084084861,0.2044075222757104,1688986116.59438,1688987878.709482
230710-114330-5695-safe-chip,0.05,8.5,0.2,0.1905252605908694,0.1935976734298075,1688985810.571299,1688987857.408675
230710-114345-1553-taut-gate,0.05,12.0,0.2,0.1941211292616836,0.1991167551081972,1688985825.155712,1688987807.74557
230710-114855-0526-spry-tone,0.05,5.0,0.2,0.2059195849972214,0.2057509396378345,1688986135.102236,1688987790.61891
