id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230710-114047-8476-calm-sink,0.05,5.75,0.2,0.0992549808850765,0.1233495286776793,1688985647.848267,1688989450.175204
230710-114046-6373-near-rate,0.05,5.0,0.2,0.1054714917282472,0.1341594636463335,1688985646.637785,1688988866.833514
230710-114046-9026-weak-dead,0.05,4.5,0.2,0.1201106856470346,0.1424400147825348,1688985646.903193,1688988793.321235
230710-114046-3096-mild-seat,0.05,4.0,0.2,0.134000844645227,0.1503831269562531,1688985646.310188,1688988632.684785
230710-114046-7669-loud-most,0.05,3.5,0.2,0.1318461227368409,0.1489135962487007,1688985646.767444,1688988581.094615
230710-114047-1916-bold-golf,0.05,3.0,0.2,0.160959635126915,0.1641655705088694,1688985647.19269,1688988527.802904
230710-114046-5454-sore-blue,0.05,2.5,0.2,0.1542415522435251,0.1573149161008485,1688985646.545957,1688988506.549587
230710-114047-8688-worn-mall,0.05,5.5,0.2,0.1311820470144325,0.1718638866951821,1688985647.869452,1688988906.05977
230710-114048-4596-pink-tree,0.05,5.25,0.2,0.0972168516326753,0.1200558760386496,1688985648.460195,1688988830.761325
230710-124642-7304-lean-lock,0.05,9.0,0.2,0.1081549188009335,0.1498918569792388,1688989602.73104,1688995560.969579
230710-114047-6541-lost-tree,0.05,6.5,0.2,0.0917062266046479,0.1247521586425245,1688985647.654667,1688990327.74094
230710-114048-0968-even-make,0.05,6.0,0.2,0.0909872746916592,0.1163872799972117,1688985648.097918,1688990059.374545
230710-114047-3717-wary-mall,0.05,6.25,0.2,0.09391934073211,0.1175650165962123,1688985647.372185,1688989961.035569
230710-124723-5792-late-army,0.05,8.5,0.2,0.1178761772371486,0.1476995181707811,1688989643.579922,1688995032.598111
230710-124635-8558-dear-mark,0.05,7.75,0.2,0.0872805369423724,0.1206416176139831,1688989595.856282,1688994728.911254
230710-124723-3930-long-clue,0.05,8.0,0.2,0.0787192751645351,0.1059907242344736,1688989643.393556,1688994574.990276
230710-124635-4374-both-ruin,0.05,7.5,0.2,0.0937259255904731,0.1216381159109759,1688989595.437831,1688994229.297459
230710-124636-2202-drab-duty,0.05,7.25,0.2,0.0999534726796113,0.1343030816711236,1688989596.220663,1688994175.04364
230710-124636-0754-hard-cell,0.05,6.75,0.2,0.1080629843423289,0.1384242032891474,1688989596.075879,1688994105.588938
230710-124635-4434-rash-bird,0.05,7.0,0.2,0.1111881515268216,0.1463846436259646,1688989595.443796,1688994099.892047
230710-141146-3442-damp-disk,0.1,2.5,0.2,0.135054807401753,0.1444635708432705,1688994706.344714,1688997259.327673
230710-125243-3076-posh-fill,0.05,9.5,0.2,0.0986873410000798,0.1330428910372361,1688989963.308394,1688996752.761217
230710-150222-7733-fond-give,0.1,5.25,0.2,0.0478297334805724,0.0864286134834758,1688997742.77423,1689000737.72994
230710-142549-3243-tame-snow,0.1,4.0,0.2,0.0622878849670914,0.0937682331663442,1688995549.3248,1688998416.05071
230710-142001-0227-kind-beer,0.1,3.5,0.2,0.079786092561631,0.1049708804738426,1688995201.023195,1688997933.128044
230710-141806-3605-that-rule,0.1,3.0,0.2,0.1328071743231201,0.1437196690177245,1688995086.361178,1688997814.256876
230710-130701-3762-full-sand,0.05,12.0,0.2,0.1012843682520345,0.1357892017033564,1688990821.377012,1689000593.061704
230710-145428-2642-sour-goal,0.1,5.0,0.2,0.0463482522129944,0.0846024560847142,1688997268.264932,1689000296.672813
230710-130240-4966-sour-milk,0.05,11.0,0.2,0.0950010715911126,0.1297885804630605,1688990560.497521,1688999832.766602
230710-143442-5588-worn-stop,0.1,4.5,0.2,0.0528678473707386,0.0951230299955112,1688996082.559651,1688998969.763408
230710-130050-7093-tidy-lock,0.05,10.0,0.2,0.097758058035222,0.1373653852253585,1688990450.709762,1688998904.610643
230710-155400-1327-rich-size,0.1,7.0,0.2,0.033636058029708,0.071485299940093,1689000840.133444,1689004569.150331
230710-141024-9751-near-test,0.05,13.0,0.2,0.0949902368046217,0.1363274086976779,1688994624.975662,1689004231.639146
230710-154631-9935-long-debt,0.1,6.75,0.2,0.0323184331626852,0.0714323048658882,1689000391.994049,1689003950.605143
