id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230711-083334-3450-dead-till,0.05,3.5,0.2,0.1891966483819977,0.1890232479838638,1689060814.346513,1689063998.800442
230711-083333-7123-sour-hook,0.05,4.0,0.2,0.1712013829477661,0.1735191121232447,1689060813.713202,1689063937.047574
230711-083338-2813-thin-glad,0.05,3.0,0.2,0.2061324812263765,0.2058429391476735,1689060818.281828,1689063777.691366
230711-093548-2262-icky-mode,0.05,5.0,0.2,0.1827095491407908,0.1826099398995463,1689064548.2269,1689067682.333229
230711-093715-7044-dark-dead,0.05,5.25,0.2,0.1672805280273805,0.1713165338505851,1689064635.7049,1689067638.094508
230711-093341-8824-cute-push,0.05,4.5,0.2,0.1827184381573419,0.1827978565118359,1689064421.882932,1689067422.187286
230711-085738-8769-wide-dare,0.05,2.5,0.2,0.2061895341314497,0.2058947065781622,1689062258.878634,1689071853.842978
230711-103815-9553-lazy-fail,0.05,5.75,0.2,0.1739870277021997,0.1840246277659459,1689068295.96818,1689071553.767122
230711-103317-4087-this-skin,0.05,5.5,0.2,0.1722633100340537,0.1747804176665459,1689067997.409236,1689071355.020755
230711-113843-4626-numb-salt,0.05,6.25,0.2,0.1734283619348129,0.1862521055155721,1689071923.463161,1689076094.363714
230711-103720-4596-vast-roof,0.05,6.0,0.2,0.147502695500464,0.1521996080603125,1689068240.460211,1689072405.407647
230711-114213-6155-true-pipe,0.05,6.5,0.2,0.170637797119561,0.1776173150196551,1689072133.632057,1689076578.015673
230711-130607-4252-cute-mall,0.05,7.5,0.2,0.1737782155796514,0.1861075466426425,1689077167.425789,1689080969.792414
230711-125816-8817-worn-fact,0.05,7.25,0.2,0.1721240886445198,0.1817384168907617,1689076696.91118,1689080884.249367
230711-115624-0851-huge-wrap,0.05,7.0,0.2,0.1332094877969206,0.1448107620798238,1689072984.100782,1689077419.971923
230711-142933-3255-mean-feel,0.05,8.0,0.2,0.1600050553748352,0.1741132391350565,1689082173.353773,1689087053.818784
230711-132028-6279-good-loss,0.05,7.75,0.2,0.1728686980504467,0.1824145651991703,1689078028.628473,1689081700.65945
230711-153008-6809-sore-bird,0.05,10.0,0.2,0.1401264240828374,0.1531829762968226,1689085808.701664,1689090444.760455
230711-152103-2923-cool-fold,0.05,9.0,0.2,0.1804446771832877,0.1905558245918266,1689085263.296274,1689089941.737214
230711-121526-2045-kind-hate,0.05,6.75,0.2,0.1719275999487796,0.1807249162274304,1689074127.05862,1689088079.178611
230711-145045-8431-huge-task,0.05,8.5,0.2,0.1704268159665647,0.1825440124040591,1689083445.844109,1689088114.869634
230711-155949-6058-dark-back,0.05,9.5,0.2,0.1727408986316805,0.1831692846232111,1689087589.623072,1689093126.100087
230711-174255-6855-damp-mess,0.05,12.0,0.2,0.1771747548065052,0.1886540339204881,1689093775.690906,1689099070.904587
230711-175032-2853-cold-menu,0.05,14.0,0.2,0.1778843254297199,0.1887160317819685,1689094232.295029,1689098868.727617
230711-175430-3649-open-tear,0.05,15.0,0.2,0.1884893585073954,0.2035838797702591,1689094470.365385,1689098587.997716
230711-192108-0242-slow-feel,0.1,5.0,0.2,0.1368814733319121,0.1445324127247235,1689099668.064476,1689103057.191943
230711-191744-6777-wary-side,0.1,4.5,0.2,0.1401290983053907,0.1466517373938609,1689099464.685652,1689102746.159559
230711-191213-0714-vast-rule,0.1,4.0,0.2,0.1389138461355492,0.1448232839837751,1689099133.071853,1689102170.672906
230711-155037-9739-lean-rich,0.05,11.0,0.2,0.1746209379276881,0.1861874310494491,1689087037.975523,1689101156.071658
230711-185458-3975-long-shop,0.1,3.5,0.2,0.1473048570326659,0.1506132493034797,1689098098.398012,1689101149.265873
230711-183807-8796-dear-idea,0.1,3.0,0.2,0.2059529551307174,0.2056872600116343,1689097087.884374,1689100323.392792
230711-183400-2906-zany-jump,0.1,2.5,0.2,0.2061895341314497,0.2058947065781622,1689096840.291198,1689100201.434645
230711-202225-4603-wiry-ride,0.1,6.5,0.2,0.0978584263959936,0.1164924913510894,1689103345.460928,1689106679.343262
230711-201136-7994-glum-bath,0.1,6.25,0.2,0.1328554062403824,0.1450817652504313,1689102696.816438,1689105705.118626
230711-195524-1417-ripe-hair,0.1,5.75,0.2,0.1113926378146073,0.1214385636971653,1689101724.142536,1689104714.242286
230711-193955-1726-pale-lift,0.1,5.25,0.2,0.1391661434552521,0.1467074222126931,1689100795.197827,1689104237.611263
230711-194155-8184-tiny-farm,0.1,5.5,0.2,0.127202823394666,0.1364553809341392,1689100915.918611,1689104208.001495
230711-181354-1244-slim-cell,0.05,13.0,0.2,0.1728107649745024,0.1905487100714923,1689095634.134601,1689109907.578575
230711-211033-0192-sore-wait,0.1,7.75,0.2,0.0836417207038465,0.1018187271640863,1689106233.019683,1689109380.264029
230711-205422-7064-safe-food,0.1,7.5,0.2,0.10440078146164,0.1291363783447956,1689105262.706875,1689108448.563494
230711-204711-6947-fake-pack,0.1,7.25,0.2,0.118964251573239,0.1431452771958142,1689104831.717559,1689108250.653107
230711-204641-2744-bony-loss,0.1,7.0,0.2,0.1176705464917767,0.1380466029311341,1689104801.278994,1689108186.793623
230711-202741-1459-used-hour,0.1,6.75,0.2,0.0884163759830483,0.1059790020005944,1689103661.146464,1689107079.611074
230711-215405-2083-evil-hurt,0.1,9.5,0.2,0.0794869161556631,0.1061659803911168,1689108845.230931,1689112447.344404
230711-215309-4006-rosy-risk,0.1,9.0,0.2,0.1054963937641075,0.1337953009174817,1689108789.452377,1689112325.319426
230711-215657-1858-rash-miss,0.1,10.0,0.2,0.0937379334523816,0.1236571328513784,1689109017.186297,1689112073.225086
230711-213447-6897-thin-feel,0.1,8.5,0.2,0.1204042890434311,0.1507820568325447,1689107687.76184,1689111344.143043
230711-212755-1425-same-gift,0.1,8.0,0.2,0.0776041965663006,0.1048662862187755,1689107275.171505,1689110717.577803
230711-225658-7688-loud-kind,0.15,2.5,0.2,0.2061895341314497,0.2058947065781622,1689112618.769387,1689115461.846899
230711-223517-9414-zany-drop,0.1,13.0,0.2,0.1026970331635694,0.1407392266525778,1689111317.963378,1689115170.83481
230711-224222-9050-tame-hunt,0.1,14.0,0.2,0.1177316475859305,0.1538782228255849,1689111742.923398,1689115104.390819
230711-221151-4154-fond-blow,0.1,11.0,0.2,0.1150828170345076,0.1501714250471475,1689109911.415948,1689113156.388043
230711-202016-3052-best-boot,0.1,6.0,0.2,0.1297577804748417,0.1418738559160881,1689103216.328028,1689112958.208827
230711-234729-0332-used-jump,0.15,5.0,0.2,0.1299870776541225,0.1394543420914672,1689115649.033711,1689118440.800465
230711-231451-0856-torn-belt,0.15,4.5,0.2,0.1349480873573785,0.142780533816917,1689113691.086094,1689116670.323431
230711-230413-8735-dark-hour,0.15,3.5,0.2,0.1416724772547851,0.1466869191850996,1689113053.874057,1689116519.901566
