soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
13.5,0.8,0.2,7,0.009167124918819136,0.28217151239598226
13.5,0.8,0.2,15,0.017007269996333563,0.26698087217830263
13.5,0.8,0.2,31,0.02306534378574416,0.20733210602359425
13.5,0.8,0.2,62,0.030297462038574002,0.19407572300700146
13.5,0.8,0.2,125,0.047566661358735385,0.20020884149574383
13.5,0.8,0.2,250,0.0735032913843706,0.18009858576190224
13.5,0.8,0.2,500,0.07622834876249464,0.1642726477392917
13.5,0.8,0.2,1000,0.0849177969523915,0.15168726163073093
13.5,0.8,0.2,2000,0.0853543690231456,0.1389421376762759
13.5,0.8,0.2,4000,0.0823885335729156,0.13576129139927537
13.5,0.8,0.2,8000,0.08154125486176274,0.1340346119469616
13.5,0.8,0.2,16000,0.07698748756974755,0.1333540740894295
13.5,0.8,0.2,32000,0.07481663331888458,0.13336999545985823
