soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
6.75,0.5,0.2,7,0.008254664080649099,0.19274576563438264
6.75,0.5,0.2,15,0.009774421550933032,0.20819158616783856
6.75,0.5,0.2,31,0.013133109800412357,0.17296423816957285
6.75,0.5,0.2,62,0.017504549679468073,0.13938265044195766
6.75,0.5,0.2,125,0.0184346976765317,0.12880224883540212
6.75,0.5,0.2,250,0.01906113975439458,0.09476080718463895
6.75,0.5,0.2,500,0.019265393686333076,0.0771439846815064
6.75,0.5,0.2,1000,0.018600382620753402,0.07252052481130325
6.75,0.5,0.2,2000,0.019201203865418244,0.06285144959589259
6.75,0.5,0.2,4000,0.018712766714442195,0.0583639027430969
6.75,0.5,0.2,8000,0.018469070569644204,0.05384352327723292
6.75,0.5,0.2,16000,0.0177859925447042,0.05067755177645085
6.75,0.5,0.2,32000,0.016519946602179682,0.04971361859802663
