soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.0,0.20,0.20,7,0.01816963305486314,0.23014461548475781
9.0,0.20,0.20,15,0.020301877327325503,0.19138155580143182
9.0,0.20,0.20,31,0.025105056576678247,0.13242022447386936
9.0,0.20,0.20,62,0.030108123724183634,0.12253121240791769
9.0,0.20,0.20,125,0.034912418927513504,0.11379197801606016
9.0,0.20,0.20,250,0.03679751095719871,0.0983269253648593
9.0,0.20,0.20,500,0.03774140073575882,0.08675043380546606
9.0,0.20,0.20,1000,0.037370872874448166,0.0832841286600274
9.0,0.20,0.20,2000,0.038338540188783396,0.08039400433144836
9.0,0.20,0.20,4000,0.03889786181617007,0.07411924195113537
9.0,0.20,0.20,8000,0.038462813606475396,0.07030534077927628
9.0,0.20,0.20,16000,0.03694011135301078,0.06824364314155475
9.0,0.20,0.20,32000,0.035043237224369715,0.06562472746991618
